#code_name;Name;;;;;;;;;;;;x
#code_name_desc;Description;;;;;;;;;;;;x

EB_perfect_bloodline;The Perfect Blood of [This.GetTitledFirstName];;;;;;;;;;;;x
EB_perfect_bloodline_desc;[This.GetFirstName] was a [This.GetManWoman] of towering intellect and unparallel strength and beauty. [This.GetSheHeCap] is widely considered the pinnacle of the human race, some, even consider [This.GetHerHim] of Godly descent.;;;;;;;;;;;;x

EB_zealot_bloodline;The Zealous Blood of [This.GetTitledFirstName];;;;;;;;;;;;x
EB_zealot_bloodline_desc;[This.GetFirstName] has proven [This.GetHerselfHimself] as one of the most zealous ruler time and time again, making [This.GetHerHis] name indelible in the annals of history.;;;;;;;;;;;;x

EB_greedy_bloodline;The Greedy Blood of [This.GetTitledFirstName];;;;;;;;;;;;x
EB_greedy_bloodline_desc;[This.GetFirstName] was known for [This.GetHerHis] extremely greedy nature, trying to aqcuire every bit of wealth [This.GetSheHe] came upon.;;;;;;;;;;;;x

EB_honor_bloodline;Blood Of Honor;;;;;;;;;;;;x
EB_honor_bloodline_desc;[This.GetFirstName] is considered by many, one of the most honorary [This.GetManWoman] in [This.GetHerHis] realm, gaining the trust of [This.GetHerHis] vassals and common people alike.;;;;;;;;;;;;x

EB_cynical_bloodline;The Cynical Blood of [This.GetTitledFirstName];;;;;;;;;;;;x
EB_cynical_bloodline_desc;Rumors suggest that [This.GetFirstName] has never felt any emotion in his life. [This.GetSheHeCap] has no regard for the divine and for that, [This.GetSheHe] will surely burn in hell.;;;;;;;;;;;;x

EB_great_dynasty_bloodline;The Great Blood of the [This.GetOnlyDynastyName] Dynasty;;;;;;;;;;;;x
EB_great_dynasty_bloodline_desc;The Dynasty of [This.GetOnlyDynastyName] has made it's name in the medieval world through countless acts of great diplomacy, organisation and conquest. Their name shall live on for a thousand more generations!;;;;;;;;;;;;x

EB_great_diplomat_bloodline;The Great Diplomat Bloodline;;;;;;;;;;;;x
EB_great_diplomat_bloodline_desc;[This.GetFirstName] was uncontested in matters of diplomacy. [This.GetHerHisCap] name and bloodline will be remembered, for [This.GetSheHe] shall be one the greatest diplomats that lived in the medieval world.;;;;;;;;;;;;x

EB_great_commander_bloodline;The Great Commander Bloodline;;;;;;;;;;;;x
EB_great_commander_bloodline_desc;[This.GetFirstName] was uncontested in matters of warfare. [This.GetHerHisCap] name and bloodline will be remembered, for [This.GetSheHe] shall be one the greatest commanders that lived in the medieval world.;;;;;;;;;;;;x

EB_great_steward_bloodline;The Great Steward Bloodline;;;;;;;;;;;;x
