#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
slovak;Slovak;Slovaque;Slowakisch;;Eslovaco;;;;;;;;;x;
gothic;Gothic;Gothique;Gotisch;;Gótico;;;;;;;;;x;
pontic;Pontic;Pontique;Pontic;;Póntico;;;;;;;;;x;
flemish;Flemish;Flamand;Flämisch;;Flamenco;;;;;;;;;x;
wallonian;Wallonian;Wallonie;Wallonischen;;Valona;;;;;;;;;x;
luxembourgish;Luxembourgish;Luxembourgish;Luxemburgisch;;Luxemburgués;;;;;;;;;x;
gascon;Gascon;Gascon;Gascon;;Gascon;;;;;;;;;x;
burgundian;Burgundian;Bourguignonne;Burgundischen;;Borgoñón;;;;;;;;;x;
galician;Galician;Galicien;Galizisch;;Gallego;;;;;;;;;x;
leonese;Leonese;Leonese;Leonese;;Leonés;;;;;;;;;x;
aragonese;Aragonese;Aragonais;Aragonier;;Aragonés;;;;;;;;;x;
moroccan;Moroccan;Marocain;Marokkanisch;;Marroquí;;;;;;;;;x;
algerian;Algerian;Algérien;Algerisch;;Argelino;;;;;;;;;x;
tunisian;Tunisian;Tunisien;Tunesische;;Tunecino;;;;;;;;;x;
libyan;Libyan;Libyen;Libyer;;Libio;;;;;;;;;x;
palestinian;Palestinian;Palestinien;Palästinensisch;;Palestino;;;;;;;;;x;
lebanese;Lebanese;Libanais;Libanesisch;;Libanés;;;;;;;;;x;
syrian;Syrian;Syrien;Syrisch;;Siria;;;;;;;;;x;
mashriqi;Mashriqi;Mashriqi;Mashriqi;;Mashriqi;;;;;;;;;x;
hejazi;Hejazi;Hejazi;Hejazi;;Hejazi;;;;;;;;;x;
najdi;Najdi;Najdi;Najdi;;Najdi;;;;;;;;;x;
yemeni;Yemeni;Yémen;Jemenitisch;;Yemenita;;;;;;;;;x;
omani;Omani;Omanais;Omanisch;;Omaní;;;;;;;;;x;
luri;Luri;Luri;Luri;;Luri;;;;;;;;;x;
mazandarani;Mazandarani;Mazandarani;Mazandarani;;Mazandarani;;;;;;;;;x;
khorasani;Khorasani;Khorasani;Khorasani;;Khorasani;;;;;;;;;x;
macedonian;Macedonian;Macédonien;Mazedonisch;;Macedónio;;;;;;;;;x;
montenegrin;Montenegrin;Monténégrin;Montenegros;;Montenegrino;;;;;;;;;x;
albanian;Albanian;Albanais;Albanisch;;Albanés;;;;;;;;;x;
bosniak;Bosniak;Bosnienne;Bosniak;;Bosnio;;;;;;;;;x;
slovene;Slovene;Slovène;Slowene;;Esloveno;;;;;;;;;x;
maltese;Maltese;Maltais;Maltesisch;;Maltés;;;;;;;;;x;
sicilian;Sicilian;Sicilienne;Sizilianisch;;Siciliano;;;;;;;;;x;
neapolitan;Neapolitan;Napolitain;Neapolitanischen;;Napolitano;;;;;;;;;x;
sardinian;Sardinian;Sardaigne;Sarde;;Sardo;;;;;;;;;x;
umbrian;Umbrian;Ombrienne;Umbrischen;;Umbría;;;;;;;;;x;
tuscan;Tuscan;Toscan;Tuscan;;Toscano;;;;;;;;;x;
ligurian;Ligurian;Ligure;Ligurischen;;Liguria;;;;;;;;;x;
piedmontese;Piedmontese;Piémontais;Piemontesischen;;Piamontesa;;;;;;;;;x;
new_lombard;New Lombard;Nouveau Lombard;Neu Lombarde;;Nuevo Lombard;;;;;;;;;x;
romagnan;Romagnan;Romagnan;Romagnan;;Romagnan;;;;;;;;;x;
venetian;Venetian;Vénitien;Venetian;;Veneciano;;;;;;;;;x;
swiss;Swiss;Suisse;Schweizerisch;;Suizo;;;;;;;;;x;
swabian;Swabian;Souabe;Schwabe;;Suabia;;;;;;;;;x;
bavarian;Bavarian;Bavarian;Bayer;;Bávaro;;;;;;;;;x;
austrian;Austrian;Autrichien;Osterreichisch;;Austriaco;;;;;;;;;x;
franconian;Franconian;Franconian;Franconian;;Franconian;;;;;;;;;x;
rhenish;Rhenish;Rhin;Rheinische;;Renano;;;;;;;;;x;
westphalian;Westphalian;Westphalien;Westfälisch;;Westfalia;;;;;;;;;x;
new_saxon;New Saxon;Nouveau Saxon;Neu Sachse;;Nuevo Sajón;;;;;;;;;x;
new_pomeranian;New Pomeranian;Nouveau Poméranien;Neu Spitz;;Nuevo Pomeranio;;;;;;;;;x;
new_prussian;New Prussian;Nouveau Prussien;Neu Preuße;;Nuevo Prusiano;;;;;;;;;x;
icelandic;Icelandic;Islandais;Isländisch;;Islandés;;;;;;;;;x;
highlander;Highlander;Highlander;Hochländer;;Montañés;;;;;;;;;x;
cornish;Cornish;Cornouaillais;Kornisch;;de Cornualles;;;;;;;;;x;
tuareg;Tuareg;Touareg;Tuareg;;Tuareg;;;;;;;;;x;
songhai;Songhai;Songhai;Songhai;;Songhai;;;;;;;;;x;
bambara;Bambara;Bambara;Bambara;;Bambara;;;;;;;;;x;
bozo;Bozo;Bozo;Bozo;;Bozo;;;;;;;;;x;
soninke;Soninke;Soninke;Soninke;;Soninke;;;;;;;;;x;
mossi;Mossi;Mossi;Mossi;;Mossi;;;;;;;;;x;
malian;Malian;Malien;Malian;;Malian;;;;;;;;;x;
transylvanian;Transylvanian;Transylvanian;Transsilvanisch;;Transylvanian;;;;;;;;;x;
moldovan;Moldovan;Moldovan;Moldovan;;Moldovan;;;;;;;;;x;
