#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;;x
dark;Dark;;;;;;;;;;;;x
luciferian;Luciferian;;;;;;;;;;;;x
luciferian_DESC;Worshippers of Lucifer, Bringer of Light;;;;;;;;;;;;x
lucifer;Lucifer;;;;;;;;;;;;x
samael;Samael;;;;;;;;;;;;x
the_morning_star;The Morning Star;;;;;;;;;;;;x
lightbringer;Lightbringer;;;;;;;;;;;;x
devil;Devil;;;;;;;;;;;;x
satan;Satan;;;;;;;;;;;;x
belial;Belial;;;;;;;;;;;;x
prince_of_darkness;Prince of Darkness;;;;;;;;;;;;x
dark_lord;Dark Lord;;;;;;;;;;;;x
brightest-of-all-god's_angels;Brightest Of All Gods Angels;;;;;;;;;;;;x
lord_of_hell;Lord of Hell;;;;;;;;;;;;x
king_of_hell;King of Hell;;;;;;;;;;;;x
king_of_hellfire;King of Hellfire;;;;;;;;;;;;x
king_of_evil;King of Evil;;;;;;;;;;;;x
prince_of_lies;Prince of Lies;;;;;;;;;;;;;x
father;Father;;;;;;;;;;;;x
heavenly_father;Heavenly Father;;;;;;;;;;;;x
the_almighty;The Almighty;;;;;;;;;;;;x
mother_of_angels;Mother of Angels;;;;;;;;;;;;x
goddess_of_all_creation;Goddess Of All Creation;;;;;;;;;;;;x
supreme_goddess;Supreme Goddess;;;;;;;;;;;;x
divine_goddess;Divine Goddess;;;;;;;;;;;;x
amenadiel;Amenadiel;;;;;;;;;;;;x
gabriel;Gabriel;;;;;;;;;;;;x
uriel;Uriel;;;;;;;;;;;;x
azrael;Azrael;;;;;;;;;;;;x
remiel;Remiel;;;;;;;;;;;;x
castiel;Castiel;;;;;;;;;;;;x
the_hounds_of_hells_firey_rain;The Hounds of Hells Firey Rain;;;;;;;;;;;;x
church_of_lucifer;Church of Lucifer;;;;;;;;;;;;x
priest;Priest;;;;;;;;;;;;x
priestess;Priestess;;;;;;;;;;;;x
d_lucifer;Lucifer;;;;;;;;;;;;x
firebender;Firebender;;;;;;;;;;;;x
hellfire;Hellfire;;;;;;;;;;;;x
