SRR_opinion_embarrassed;Embarrassed;;;;;;;;;x
SRR4000_desc;Success! [From.GetFirstName] and I have found a private place and have begun to get intimate. After a some time, I realize I will not get an erection. It's been long enough that [From.GetFirstName] will get suspicious soon, if [From.GetSheHe] isn't already.;;;;;;;;;x
SRR4000OPTA;I guess I'll have to be honest.;;;;;;;;;x
SRR4000OPTB;Quickly grab my clothes and run off.;;;;;;;;;x
SRR4000OPTC;Get down on my knees and please [From.GetHerHim] in another way.;;;;;;;;;x
SRR4001_desc;Success! [FromFrom.GetFirstName] and I have found a private place and have begun to get intimate. After a some time, I realize I will not get an erection. It's been long enough that [FromFrom.GetFirstName] will get suspicious soon, if [FromFrom.GetSheHe] isn't already.;;;;;;;;;x
SRR4001OPTA;I guess I'll have to be honest.;;;;;;;;;x
SRR4001OPTB;Quickly grab my clothes and run off.;;;;;;;;;x
SRR4001OPTC;Get down on my knees and please [FromFrom.GetHerHim] in another way.;;;;;;;;;x
SRR4002_desc;Fled the scene after penis malfunction;;;;;;;;;x
SRR4002_descA;Fled the scene after penis malfunction;;;;;;;;;x
SRR4002OPTA;The chase ends...;;;;;;;;;x
SRR4002OPTA_tip;Another seduction can't be attempted for a year;;;;;;;;;x
SRR4002OPTB;I won't be able to look at [FromFrom.GetHerHim] the same again.;;;;;;;;;x
SRR4003_desc;[From.GetFirstName] flees the scene;;;;;;;;;x
SRR4003OPTA;How strange.;;;;;;;;;x
SRR4004_desc;[From.GetFirstName] flees the scene;;;;;;;;;x
SRR4004OPTA;This isn't worth it;;;;;;;;;x
SRR4004OPTB;'Tis but a minor setback;;;;;;;;;x
SRR4005_desc;[From.GetFirstName] confesses his ED;;;;;;;;;x
SRR4005OPTA;There are other things we can do...;;;;;;;;;x
SRR4005OPTB;Leave before I waste any more time.;;;;;;;;;x
SRR4006_desc;After I explained my predicament to [From.GetFirstName], [From.GetSheHe] got up and left, muttering something about me wasting [From.GetHerHis] time.;;;;;;;;;x
SRR4006OPTA;The chase ends.;;;;;;;;;x
SRR4007_desc;[From.GetFirstName] suggests alternatives.;;;;;;;;;x
SRR4007OPTA;Let's start doing them, then!;;;;;;;;;x
SRR4008_descED;I think of some creative ways to please [target_seduced.GetFirstName]. When we are both spent, we sneak back, hoping no one noticed us.;;;;;;;;;x
SRR4008_desc;[target_seduced.GetFirstName] and I time make love and he performs quite well despite his condition. When we are both spent, we sneak back, hoping no one noticed our absence.;;;;;;;;;x
SRR4008_descB;[target_seduced.GetFirstName] and I time make love and he uses some unusual, but thrilling techniques. When we are both spent, we sneak back, hoping no one noticed our absence.;;;;;;;;;x
SRR4008OPTA;Veni, Vini, Vici.;;;;;;;;;x
SRR4008OPTB;Let our love grow.;;;;;;;;;x
SRR4009_descED;I think of some creative ways to please [target_seducer.GetFirstName]. When we are both spent, we sneak back, hoping no one noticed us.;;;;;;;;;x
SRR4009_desc;[target_seducer.GetFirstName] and I time make love and he performs quite well despite his condition. When we are both spent, we sneak back, hoping no one noticed our absence.;;;;;;;;;x
SRR4009_descB;[target_seducer.GetFirstName] and I time make love and he uses some unusual, but thrilling techniques. When we are both spent, we sneak back, hoping no one noticed our absence.;;;;;;;;;x
SRR4009OPTA;When can we do that again?;;;;;;;;;x
