EVTDESCPDP.1;[From.GetTitledName] has died. Now it is up to me, [Root.GetBestName], to lead the [Root.GetOnlyDynastyName] family to greatness.;;;;;;;;;;;;;x
EVTOPTAPDP.1;May [From.GetFirstName] rest in peace.;;;;;;;;;;;;;x
EVTDESCPDP.2;The succession didn't went well. ;;;;;;;;;;;;;x
EVTOPTAPDP.2;What a shame.;;;;;;;;;;;;;x
EVTDESCPDP.110;Pope [From.GetName] has died. Now the Conclave, consisting of the members of the College of Cardinals, will come together in Rome to elect a new Pope.;;;;;;;;;;;;;x
EVTOPT_a_PDP.110;Let the Holy Spirit guide them.;;;;;;;;;;;;;x
EVTDESCPDP.148;The Conclave has ended. After weeks of debate and long nights the College of Cardinals with the help of divine inspiration finally made its choice.;;;;;;;;;;;;;x
EVTOPT_a_PDP.148;The Holy Spirit made his choice..;;;;;;;;;;;;;x
EVTDESCPDP.150;The Conclave has elected a new Pope. He calls himself Pope [Root.RelHead.GetFirstName].;;;;;;;;;;;;;x
EVTOPT_a_PDP.150;God bless His Holiness!;;;;;;;;;;;;;x
EVTOPT_b_PDP.150;That's bad news.;;;;;;;;;;;;;x
EVTDESCPDP.112;I'm invited to the Conclave to fulfill Gods will as Cardinal and elect a new Pope, a task of great honour and importance.;;;;;;;;;;;;;x
EVTOPT_a_PDP.112;I will travel to Rome immediately.;;;;;;;;;;;;;x
EVTOPT_b_PDP.112;Tell the other Cardinals that I cannot attend.;;;;;;;;;;;;;x
EVTDESCPDP.113;A few days ago, our beloved Pope died. Having spend the last week mourning his death, we now must move onward and find his successor. So, the conclave begins.\n(Before the voting starts, I should speak to the other Cardinals.);;;;;;;;;;;;;x
EVTOPT_a_PDP.113;May God be with me.;;;;;;;;;;;;;x
EVTDESCPDP.115;It's time for me to vote. \n (Use the targeted decision 'Vote for' to cast your vote on yourself or another cardinal. Then proceed with the event. \n Keep in mind that the vanilla interface (preferatus) is wrong, you actually choose the pope with this event);;;;;;;;;;;;;x
EVTOPT_a_PDP.115;I have voted.;;;;;;;;;;;;;x
EVTOPT_b_PDP.115;I will vote for... myself of course.;;;;;;;;;;;;;x
EVTOPT_p_PDP.115;I have promised my vote to someone else - I have no choice.;;;;;;;;;;;;;x
EVTDESCPDP.121;The votes have been counted. [electedPope.GetTitledName] has won the election with a majority and will become the next Pope. He fell on his knees and thanked God.;;;;;;;;;;;;;x
EVTOPT_a_PDP.121;God bless him.;;;;;;;;;;;;;x
EVTDESCPDP.122;The votes have been counted, but again, no one has a majority of more than [global_PDP_half_number_votes.GetValue] votes. So we will have to cast our votes again, until we find a worthy successor with the help of the Lord. The election will be soon, although we should leave some time for debates.\nI got merely [Root.PDP_votes_for_me.GetValue] vote(s).;;;;;;;;;;;;;x
EVTDESCPDP.124;After a long night, [PDP_widthdrawed_cardinal.GetTitledName] decided that only getting [PDP_widthdrawed_cardinal.PDP_votes_for_me.GetValue] votes in the last round of election clearly shows, that he is not meant to become Pope yet. He therefore declared to no longer candidate for the Throne of St. Peter and asked all of us to no longer vote for him.;;;;;;;;;;;;;x
EVTDESCPDP.124Absent;A letter arrived from [PDP_widthdrawed_cardinal.GetTitledName]. Being absent and not having many supporters in the curia, he doesn't believe that he has a chance. He therefore declared to not candidate for the Throne of St. Peter and asked all of us to no longer vote for him.;;;;;;;;;;;;;x
EVTOPT_a_PDP.124;So be it.;;;;;;;;;;;;;x
EVTOPT_a_PDP.122;We will find a majority.;;;;;;;;;;;;;x
PDP_SEDE_VACANTE;The Holy See;;;;;;;;;;;;;x
EVTDESCPDP.123;The votes have been counted and I cannot believe it: I have been elected with [Root.PDP_votes_for_me.GetValue] votes. Joyful I thank the Lord, and of course the cardinals that voted for me (and the low-born souls that earned me the money to pay for the votes).;;;;;;;;;;;;;x
PDP_tooltip_no_dont_vote_for_me_flag;[Root.GetFirstName] wants to be elected.;;;;;;;;;;;;;x
PDP_tutorial;Theocracy Tutorial;;;;;;;;;;;;;x
PDP_votes_for_me;Papal Election Votes;;;;;;;;;;;;;x
PDP_votes_for_me_last_round;Papal Election Votes;;;;;;;;;;;;;x
PDP_bribe_theocracy_elector;Bribe Elector;;;;;;;;;;;;;x
PDP_bribe_theocracy_elector_desc;While succession in Theocracies is not dynastic most of the time, a little bit of money makes so many things possible...;;;;;;;;;;;;;x
PDP_in_conclave;In the Conclave;;;;;;;;;;;;;x
PDP_same_culture;Same culture;;;;;;;;;;;;;x
PDP_same_dynasty;Our family must hold together;;;;;;;;;;;;;x
PDP_learning;You are learned;;;;;;;;;;;;;x
PDP_withdrew;I already withdrew from the election;;;;;;;;;;;;;x
PDP_ambitious_cardinal;I want to become Pope myself;;;;;;;;;;;;;x
PDP_ImPreferatus;I believe I can win the election myself;;;;;;;;;;;;;x
PDP_like_you;I like you.;;;;;;;;;;;;;x
PDP_like_fromfrom;I like [FromFrom.GetTitledName].;;;;;;;;;;;;;x
PDP_in_conclave_desc;A papal conclave is a meeting of the College of Cardinals convened to elect a new Bishop of Rome, also known as the Pope.\nThis character received [Root.PDP_votes_for_me_last_round.GetValue] vote(s) in the last round of election (this number updates when you are prompted to vote in the next round).;;;;;;;;;;;;;x
PDP_conclave_vote_for;Vote for.;;;;;;;;;;;;;x
PDP_conclave_vote_for_desc;Vote for [Root.GetTitledName] as the next Pope. If [Root.GetSheHe] gets a majority of the votes, he will become Pope.;;;;;;;;;;;;;x
EVTOPT_a_PDP.123;Thank God.;;;;;;;;;;;;;x
EVTDESCPDP.5;The College of Cardinals has elected me as the next Pope. White smoke ascends and I am asked if I accept my canonical election as Supreme Pontiff.\nAs the tradition demands, I must choose a new name for myself - so I shall be called [Root.GetTitledName] henceforth.;;;;;;;;;;;;;x
EVTOPTAPDP.5;With the help of God, I will lead the Catholic Faith.;;;;;;;;;;;;;x
