#####
#Warnings
#####

RTPtutorial.1_title; ;;;;;;x
RTPtutorial.1_desc;It has been a year and you STILL do not have a liege! Please §YMove§! to a new location by clicking on one of the province §YHoldings§! and §YRight Clicking§! on the §YBarony§! Coat of Arms!;;;;;;x
RTPtutorial.1_1; ;;;;;;x

#####
#Tutorials
#####

RTPtutorial.100_title; ;;;;;;x
RTPtutorial.100_desc; ;;;;;;x
RTPtutorial.100_1; ;;;;;;x

RTPtutorial.101_title; ;;;;;;x
RTPtutorial.101_desc;You can §YMove§! to a new location by clicking on one of the province §YHoldings§! and §YRight Clicking§! on the §YBarony§! Coat of Arms!;;;;;;x
RTPtutorial.101_1; ;;;;;;x

RTPtutorial.102_title; ;;;;;;x
RTPtutorial.102_desc;You can only visit the §YWeaponsmith§! and the §YArmorsmith§! if you do not already have all of the associated slots filled!;;;;;;x
RTPtutorial.102_1; ;;;;;;x

RTPtutorial.103_title; ;;;;;;x
RTPtutorial.103_desc;§YTrade Goods§! can be purchased and sold at the §YMarketplace§!. The §YTooltip§! will tell you what the §YTrade Good§! is worth!;;;;;;x
RTPtutorial.103_1; ;;;;;;x

RTPtutorial.104_title; ;;;;;;x
RTPtutorial.104_desc;You can §YBuild Workshop§! in a §YProvince§! that does not have a §YTrade Goods§! modifier by §YRight Clicking§! on the §YCounty§! Coat of Arms.;;;;;;x
RTPtutorial.104_1; ;;;;;;x

RTPtutorial.105_title; ;;;;;;x
RTPtutorial.105_desc;You can §YPreach Religion§! in a §YProvince§! that does not share your own §YReligion§! by §YRight Clicking§! on the §YCounty§! Coat of Arms.;;;;;;x
RTPtutorial.105_1; ;;;;;;x

RTPtutorial.106_title; ;;;;;;x
RTPtutorial.106_desc;You can §YRecruit Volunteers§! in a §YProvince§! by §YRight Clicking§! on the §YCounty§! Coat of Arms.;;;;;;x
RTPtutorial.106_1; ;;;;;;x

RTPtutorial.107_title; ;;;;;;x
RTPtutorial.107_desc;You can §YRecruit Patriots§! in a §YProvince§! that shares your §YCulture§!, but not your top liege's, by §YRight Clicking§! on the §YCounty§! Coat of Arms.;;;;;;x
RTPtutorial.107_1; ;;;;;;x

RTPtutorial.108_title; ;;;;;;x
RTPtutorial.108_desc;You can §YRecruit Patriots§! in a §YProvince§! that shares your §YReligion§!, but not your top liege's, by §YRight Clicking§! on the §YCounty§! Coat of Arms.;;;;;;x
RTPtutorial.108_1; ;;;;;;x

RTPtutorial.109_title; ;;;;;;x
RTPtutorial.109_desc;Characters with the §YMercenary§! government automatically receive a random amount of §YTroops§! each year.;;;;;;x
RTPtutorial.109_1; ;;;;;;x

RTPtutorial.110_title; ;;;;;;x
RTPtutorial.110_desc;People with the §YPrivateer§! government can attack neutral §YShips§! for wealth and prisoners.;;;;;;x
RTPtutorial.110_1; ;;;;;;x

#####
#Tips
#####

RTPtutorial.1000_title; ;;;;;;x
RTPtutorial.1000_desc; ;;;;;;x
RTPtutorial.1000_1; ;;;;;;x

RTPtutorial.1001_title; ;;;;;;x
RTPtutorial.1001_desc;Did you know that completing 4 §YArena§! matches grants you the §YGladiator§! trait?;;;;;;x
RTPtutorial.1001_1; ;;;;;;x

RTPtutorial.1002_title; ;;;;;;x
RTPtutorial.1002_desc;Did you know that completing 5 §YMilitary Campaigns§! grants you the §YAdventurer§! trait?;;;;;;x
RTPtutorial.1002_1; ;;;;;;x

RTPtutorial.1003_title; ;;;;;;x
RTPtutorial.1003_desc;Did you know that completing 2 §YHoly War Campaigns§! grants you your §YReligion's§! §YHoly Warrior§! trait?;;;;;;x
RTPtutorial.1003_1; ;;;;;;x

RTPtutorial.1004_title; ;;;;;;x
RTPtutorial.1004_desc;Did you know that §YMercenaries§! and §YHoly Orders§! cannot purchase a §YHouse§! or §YManor§!?;;;;;;x
RTPtutorial.1004_1; ;;;;;;x

RTPtutorial.1005_title; ;;;;;;x
RTPtutorial.1005_desc;Did you know that §YNaval Battles§! can grant you the §YAdmiral§! and §YNaval Expert§! traits?;;;;;;x
RTPtutorial.1005_1; ;;;;;;x

RTPtutorial.1006_title; ;;;;;;x
RTPtutorial.1006_desc;Did you know that there are new §YTerrain Defensive Bonuses§!?;;;;;;x
RTPtutorial.1006_1; ;;;;;;x

RTPtutorial.1007_title; ;;;;;;x
RTPtutorial.1007_desc;Did you know that you can continue playing as a §YNon-Dynastic Heir§!?;;;;;;x
RTPtutorial.1007_1; ;;;;;;x
