#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
guardian_of_faith_christian;Guardian of the Faith;Gardien de la Foi;Guardian of the Faith;;Guardian of the Faith;;;;;;;;;x
guardian_of_faith_christian_desc;He's one of the heralds of the Catholic religion (or one of its heresies), and he will defend it at all costs. ;Il est l'un des hérauts de la foi catholique (ou une de ses hérésies), et il sera prêt à tout pour la défendre.;He's one of the heralds of the Catholic religion (or one of its heresies), and he will defend it at all costs. ;;He's one of the heralds of the Catholic religion (or one of its heresies), and he will defend it at all costs. ;;;;;;;;;x
guardian_of_faith_orthodox;Guardian of the Faith;Gardien de la Foi;Guardian of the Faith;;Guardian of the Faith;;;;;;;;;x
guardian_of_faith_orthodox_desc;He's one of the heralds of the Orthodox religion (or one of its heresies), and he will defend it at all costs. ;Il est l'un des hérauts de la foi orthodoxe (ou une de ses hérésies), et il sera prêt à tout pour la défendre.;He's one of the heralds of the Orthodox religion (or one of its heresies), and he will defend it at all costs. ;;He's one of the heralds of the Orthodox religion (or one of its heresies), and he will defend it at all costs. ;;;;;;;;;x
guardian_of_faith_miaphysite;Guardian of the Faith;Gardien de la Foi;Guardian of the Faith;;Guardian of the Faith;;;;;;;;;x
guardian_of_faith_miaphysite_desc;He's one of the heralds of the Miaphysite religion (or one of its heresies), and he will defend it at all costs. ;Il est l'un des hérauts de la foi miaphysite (ou une de ses hérésies), et il sera prêt à tout pour la défendre.;He's one of the heralds of the Miaphysite religion (or one of its heresies), and he will defend it at all costs. ;;He's one of the heralds of the Miaphysite religion (or one of its heresies), and he will defend it at all costs. ;;;;;;;;;x
guardian_of_faith_nestorian;Guardian of the Faith;Gardien de la Foi;Guardian of the Faith;;Guardian of the Faith;;;;;;;;;x
guardian_of_faith_nestorian_desc;He's one of the heralds of the Nestorian religion (or one of its heresies), and he will defend it at all costs. ;Il est l'un des hérauts de la foi nestorienne (ou une de ses hérésies), et il sera prêt à tout pour la défendre.;He's one of the heralds of the Nestorian religion (or one of its heresies), and he will defend it at all costs. ;;He's one of the heralds of the Nestorian religion (or one of its heresies), and he will defend it at all costs. ;;;;;;;;;x
guardian_of_faith_syriac;Guardian of the Faith;Gardien de la Foi;Guardian of the Faith;;Guardian of the Faith;;;;;;;;;x
guardian_of_faith_syriac_desc;He's one of the heralds of the West Syriac religion, and he will defend it at all costs. ;Il est l'un des hérauts de la foi west syriac, et il sera prêt à tout pour la défendre.;He's one of the heralds of the West Syriac religion, and he will defend it at all costs. ;;He's one of the heralds of the West Syriac religion, and he will defend it at all costs. ;;;;;;;;;x
guardian_of_faith_maronite;Guardian of the Faith;Gardien de la Foi;Guardian of the Faith;;Guardian of the Faith;;;;;;;;;x
guardian_of_faith_maronite_desc;He's one of the heralds of the Maronite religion, and he will defend it at all costs. ;Il est l'un des hérauts de la foi maronite, et il sera prêt à tout pour la défendre.;He's one of the heralds of the Maronite religion, and he will defend it at all costs. ;;He's one of the heralds of the Maronite religion, and he will defend it at all costs. ;;;;;;;;;x
guardian_of_faith_apostolic;Guardian of the Faith;Gardien de la Foi;Guardian of the Faith;;Guardian of the Faith;;;;;;;;;x
guardian_of_faith_apostolic_desc;He's one of the heralds of the Apostolic religion (or one of its heresies), and he will defend it at all costs. ;Il est l'un des hérauts de la foi apostolic (ou une de ses hérésies), et il sera prêt à tout pour la défendre.;He's one of the heralds of the Apostolic religion (or one of its heresies), and he will defend it at all costs. ;;He's one of the heralds of the Apostolic religion (or one of its heresies), and he will defend it at all costs. ;;;;;;;;;x
guardian_of_faith_chalcedonian;Guardian of the Faith;Gardien de la Foi;Guardian of the Faith;;Guardian of the Faith;;;;;;;;;x
