#event_name;Text used within the event;;;;;;;;;;;;x


EB_bae_perfect_0001;You have been a [This.GetManWoman] of towering intellect and unparallel strength and beauty. Finally, you are considered the pinnacle of the human race, and some, even consider you of Godly descent.;;;;;;;;;;;;x
EB_bae_perfect_0001_A;All hail [This.GetTitledNameWithNick]!!!;;;;;;;;;;;;x

EB_bae_zealot_0001;You have proven yourself as one of the most zealous ruler time and time again, making your name indelible in the annals of history.;;;;;;;;;;;;x
EB_bae_zealot_0001_A;All hail [This.GetTitledNameWithNick]!!!;;;;;;;;;;;;x

EB_bae_greedy_0001;You are known for your extremely greedy nature, trying to aqcuire every bit of wealth you came upon.;;;;;;;;;;;;x
EB_bae_greedy_0001_A;Is this what I will be remembered for???;;;;;;;;;;;;x

EB_bae_honor_0001;You are considered by many, one of the most honorary rulers in your realm, gaining the trust of your vassals and common people alike.;;;;;;;;;;;;x
EB_bae_honor_0001_A;All hail [This.GetTitledNameWithNick]!!!;;;;;;;;;;;;x

EB_bae_cynical_0001;Rumors suggest that you have never felt any emotion in your life. You has no regard for the divine and for that, you will surely burn in hell;;;;;;;;;;;;x
EB_bae_cynical_0001_A;Is this what I will be remembered for???!!!;;;;;;;;;;;;x

EB_bae_great_dynasty_0001;With the death of your parent your Dynasty has accumulated unimaginable amounts of prestige and piety. [This.GetOnlyDynastyName] has made it's name in the medieval world through countless acts of great diplomacy, organisation and conquest. Your name shall live on for a thousand more generations!;;;;;;;;;;;;x
EB_bae_great_dynasty_0001_A;All hail [This.GetTitledNameWithNick]!!!;;;;;;;;;;;;x

EB_bae_great_diplomat_0001;You are uncontested in matters of diplomacy. Your name and bloodline will be remembered, for you shall be one the greatest diplomats that lived in the medieval world;;;;;;;;;;;;x
EB_bae_great_diplomat_0001_A;All hail [This.GetTitledNameWithNick]!!!;;;;;;;;;;;;x

EB_bae_great_commander_0001;You are uncontested in matters of warfare. Your name and bloodline will be remembered, for you shall be one the greatest commanders that lived in the medieval world;;;;;;;;;;;;x
EB_bae_great_commander_0001_A;All hail [This.GetTitledNameWithNick]!!!;;;;;;;;;;;;x

EB_bae_great_steward_0001;You are uncontested in matters of stewardship. Your name and bloodline will be remembered, for you shall be one the greatest stewards that lived in the medieval world;;;;;;;;;;;;x
EB_bae_great_steward_0001_A;All hail [This.GetTitledNameWithNick]!!!;;;;;;;;;;;;x

EB_bae_great_spymaster_0001;You are uncontested in matters of intrigue. Your name and bloodline will be remembered, for you shall be one the greatest spymasters that lived in the medieval world;;;;;;;;;;;;x
EB_bae_great_spymaster_0001_A;All hail [This.GetTitledNameWithNick]!!!;;;;;;;;;;;;x

EB_bae_great_philosopher_0001;You rivaled the Classical Era's great philosophers with your thoughfulness and open-mindness. Your name and bloodline will be remembered, for you shall be one the greatest philosophers humanity has ever known;;;;;;;;;;;;x
EB_bae_great_philosopher_0001_A;All hail [This.GetTitledNameWithNick]!!!;;;;;;;;;;;;x

EB_bae_mastermind_0001;An excellent diplomat, an ingenius commander, a brilliant administrator, an outstanding spy and a thoughtful philosopher, you are a [This.GetManWoman] everyone aspires to.;;;;;;;;;;;;x
EB_bae_mastermind_0001_A;All hail [This.GetTitledNameWithNick]!!!;;;;;;;;;;;;x

EB_bae_charitable_0001;A charitable person, you always give to those who need it the most. You are famous among the nobility, the clergy and the common people. Your realm is prospering under your rule!;;;;;;;;;;;;x
EB_bae_charitable_0001_A;All hail [This.GetTitledNameWithNick]!!!;;;;;;;;;;;;x

EB_bae_deceitful_0001;A deceitful person, you always lurk in the shadows, going about your business in complete secrecy.;;;;;;;;;;;;x
EB_bae_deceitful_0001_A;Is this what I will be remembered for???!!!;;;;;;;;;;;;x

EB_bae_slothful_0001;Rarely leaving your personal castle and guard, you are a textbook case of slothful person.;;;;;;;;;;;;x
EB_bae_slothful_0001_A;Is this what I will be remembered for??? Oh well...;;;;;;;;;;;;x

EB_bae_possessed_0001;Your dreams are frequently visions of the future, probably a work of the devil himself. While this gives you an advantage in intrigue and battle, you are not very popular among the clergy.;;;;;;;;;;;;x
EB_bae_possessed_0001_A;They don't understand...;;;;;;;;;;;;x

EB_bae_ambitious_0001;You always dreamt of expanding your money coffers and realm's borders, and make your culture dominate the known world.;;;;;;;;;;;;x
EB_bae_ambitious_0001_A;I will unite the world under my banner!!!;;;;;;;;;;;;x

EB_bae_rational_0001;Using logic and facts, you are an efficient problem solver, capable of running a realm with justice, efficiency, and fairness.;;;;;;;;;;;;x
