#event_name;Text used within the event;;;;;;;;;;;;x

EB_bte_perfect_0001;Waking up in the morning, you feel quite rejuvenated...;;;;;;;;;;;;x
EB_bte_perfect_0001_A;Mum, Dad, look! I have a normal foot now!;;;;;;;;;;;;x
EB_bte_perfect_0001_B;Mum, Dad, look! I'm so much taller!;;;;;;;;;;;;x
EB_bte_perfect_0001_C;Mum, Dad, look! I don't longer have a weird lip!;;;;;;;;;;;;x
EB_bte_perfect_0001_D;Mum, Dad, look! I can stand like the other kids!;;;;;;;;;;;;x

EB_bte_perfect_0002;Waking up in the morning, you feel quite rejuvenated...;;;;;;;;;;;;x
EB_bte_perfect_0002_A;Mum, Dad? What is a hunting bird? ;;;;;;;;;;;;x
EB_bte_perfect_0002_B;I feel great today!;;;;;;;;;;;;x
EB_bte_perfect_0002_C;I saw a man up the stairs.;;;;;;;;;;;;x
EB_bte_perfect_0002_D;Multiplication isn't that hard after all!;;;;;;;;;;;;x

EB_bte_perfect_0003;Waking up in the morning, you feel quite rejuvenated...;;;;;;;;;;;;x
EB_bte_perfect_0003_A;Mum, Dad, look! I can speak properly!;;;;;;;;;;;;x
EB_bte_perfect_0003_B;My mom told be I look very beautiful today.;;;;;;;;;;;;x
EB_bte_perfect_0003_C;Holding a sword is so much fun!;;;;;;;;;;;;x

EB_bte_zealot_0001;Tonight, I had a dream, as if god wanted to tell me something...;;;;;;;;;;;;x
EB_bte_zealot_0001_A;I must let God guide me through my dreams!;;;;;;;;;;;;x
EB_bte_zealot_0001_B;It was probably nothing.;;;;;;;;;;;;x

EB_bte_greedy_0001;The quest for more money never ends.;;;;;;;;;;;;x
EB_bte_greedy_0001_A;I need to have more money!;;;;;;;;;;;;x
EB_bte_greedy_0001_B;Wealth is temporary.;;;;;;;;;;;;x

EB_bte_honor_0001;The church teaches us to be honest;;;;;;;;;;;;x
EB_bte_honor_0001_A;I should follow the church's teachings;;;;;;;;;;;;x
EB_bte_honor_0001_B;Lying isn't always bad;;;;;;;;;;;;x

EB_bte_cynical_0001;Lately I have been thinking about the existance of God...;;;;;;;;;;;;x
EB_bte_cynical_0001_A;If I can not see it, it does not exist.;;;;;;;;;;;;x
EB_bte_cynical_0001_B;We can see God in our everyday lives.;;;;;;;;;;;;x

EB_bte_leadership_trait_0001;I feel the wisdom of my ancestors flowing through my veins...;;;;;;;;;;;;x
EB_bte_leadership_trait_0001_A;I will lead the charge!;;;;;;;;;;;;x
EB_bte_leadership_trait_0001_B;I will encircle the enemy!;;;;;;;;;;;;x
EB_bte_leadership_trait_0001_C;I will inspire my troops!;;;;;;;;;;;;x
EB_bte_leadership_trait_0001_D;Maybe someting else...;;;;;;;;;;;;x
EB_bte_leadership_trait_0001_E;Next Page;;;;;;;;;;;;x

EB_bte_leadership_trait_0002;I feel the wisdom of my ancestors flowing through my veins...;;;;;;;;;;;;x
EB_bte_leadership_trait_0002_A;My army will be fast like the wind!;;;;;;;;;;;;x
EB_bte_leadership_trait_0002_B;Enemy settlements will crumble!;;;;;;;;;;;;x
EB_bte_leadership_trait_0002_C;They won't see it coming...;;;;;;;;;;;;x

EB_bte_leadership_trait_0003;I feel the wisdom of my ancestors flowing through my veins...;;;;;;;;;;;;x
EB_bte_leadership_trait_0003_A;They shall feel my wrath!;;;;;;;;;;;;x
EB_bte_leadership_trait_0003_B;They are foolish attacking us!;;;;;;;;;;;;x
EB_bte_leadership_trait_0003_C;We will not yield!;;;;;;;;;;;;x

EB_bte_charitable_0001;My ancestors used to be charitable people.;;;;;;;;;;;;x
EB_bte_charitable_0001_A;I should follow my ancestor's steps;;;;;;;;;;;;x
EB_bte_charitable_0001_B;They were foolish.;;;;;;;;;;;;x

EB_bte_deceitful_0001;Maybe I should work more in the shadows;;;;;;;;;;;;x
EB_bte_deceitful_0001_A;This way, I can improve my scheming ability.;;;;;;;;;;;;x
EB_bte_deceitful_0001_B;What kind of ruler needs to be in the shadows?;;;;;;;;;;;;x

EB_bte_slothful_0001;My courtiers say that my ancestor was slothful and incapable to rule his realm;;;;;;;;;;;;x
EB_bte_slothful_0001_A;I don't think so.;;;;;;;;;;;;x
EB_bte_slothful_0001_B;They are right, I should strive to be better than my ancestors!;;;;;;;;;;;;x

EB_bte_possessed_0001;Tonight, I had a nightmare, as if the devil wanted to tell me something...;;;;;;;;;;;;x
EB_bte_possessed_0001_A;I must let the devil guide me through my dreams!;;;;;;;;;;;;x
EB_bte_possessed_0001_B;It was probably nothing.;;;;;;;;;;;;x

EB_bte_ambitious_0001;My ancestors always tried to elevate their position in the world;;;;;;;;;;;;x
EB_bte_ambitious_0001_A;I should try too!;;;;;;;;;;;;x
EB_bte_ambitious_0001_B;They were greedy and foolish.;;;;;;;;;;;;x

EB_bte_rational_0001;Every human should be treated equally...;;;;;;;;;;;;x
EB_bte_rational_0001_A;This is how the world was supposed to be.;;;;;;;;;;;;x
EB_bte_rational_0001_B;...except us.;;;;;;;;;;;;x
