#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTDESC_EU4CUL_1;The loss of Avar influence in [Root.GetName] has caused the rise of a new culture - the Slovaks.;La perte d'influence Avar dans [Root.GetName] a provoqué l'émergence d'une nouvelle culture - les Slovaques.;Der Verlust von Avar Einfluss in [Root.GetName] hat den Aufstieg einer neuen Kultur verursacht - die Slowaken.;;La pérdida de influencia Avar en [Root.GetName] ha provocado el surgimiento de una nueva cultura - los eslovacos.;;;;;;;;;x;
EVTOPTA_EU4CUL_1;Interesting...;Intéressant...;Intéressant...;;Interesante...;;;;;;;;;x;
EVTDESC_EU4CUL_2;The loss of Greek influence in [Root.GetName] has caused the revival of the Crimean Goths.;La perte d'influence grecque dans [ Root.GetName ] a provoqué la renaissance des Goths de Crimée.;Der Verlust des griechischen Einflusses in [ Root.GetName ] hat die Wiederbelebung  der Krimgoten verursacht.;;La pérdida de influencia griega en [ Root.GetName ] ha provocado el resurgimiento de los godos de Crimea.;;;;;;;;;x;
EVTOPTA_EU4CUL_2;Interesting...;Intéressant...;Intéressant...;;Interesante...;;;;;;;;;x;
EVTDESC_EU4CUL_3;The Greeks in [Root.GetName] have forged a new identity as Pontic Greeks.;Les Grecs [ Root.GetName ] ont forgé une nouvelle identité en tant que Grecs pontiques.;Die Griechen in [ Root.GetName ] haben eine neue Identität als Pontos-Griechen geschmiedet.;;Los griegos en [ Root.GetName ] han forjado una nueva identidad como griegos pónticos.;;;;;;;;;x;
EVTOPTA_EU4CUL_3;Interesting...;Intéressant...;Intéressant...;;Interesante...;;;;;;;;;x;
EVTDESC_EU4CUL_4;Flemish peoples have arisen in [Root.GetName] due to Dutch influence.;Peuples flamands ont surgi dans [ Root.GetName ] en raison de l'influence néerlandaise.;Flämische Völker haben in [ Root.GetName ] aufgrund niederländischen Einfluss entstanden.;;Pueblos flamencos han surgido en [ Root.GetName ] debido a la influencia holandesa.;;;;;;;;;x;
EVTOPTA_EU4CUL_4;Interesting...;Intéressant...;Intéressant...;;Interesante...;;;;;;;;;x;
EVTDESC_EU4CUL_5;Wallonian peoples have arisen in [Root.GetName] due to French influence.;Peuples wallons ont surgi dans [ Root.GetName ] en raison de l'influence française.;Wallonischen Völker haben in [ Root.GetName ] aufgrund Französisch Einfluss entstanden.;;Pueblos valonas han surgido en [ Root.GetName ] debido a la influencia francesa.;;;;;;;;;x;
EVTOPTA_EU4CUL_5;Interesting...;Intéressant...;Intéressant...;;Interesante...;;;;;;;;;x;
EVTDESC_EU4CUL_6;Luxembourgish peoples have arisen in [Root.GetName] due to German influence.;Peuples luxembourgeois ont surgi dans [ Root.GetName ] en raison de l'influence allemande.;Luxemburgisch Völker haben in [ Root.GetName ] aufgrund des deutschen Einflusses entstanden.;;Pueblos luxemburgueses han surgido en [ Root.GetName ] debido a la influencia alemana.;;;;;;;;;x;
EVTOPTA_EU4CUL_6;Interesting...;Intéressant...;Intéressant...;;Interesante...;;;;;;;;;x;
"EVTDESC_EU4CUL_7;Occitans in [Root.GetName] have split from Occitan culture, becoming Gascon.;Occitans dans [ Root.GetName ] ont divisé de la culture occitane , devenant Gascon.;Occitans in [ Root.GetName ] haben von okzitanischen Kultur geteilt , Gascon werden.;;Occitanos en [ Root.GetName ] se han separado de la cultura occitana , convirtiéndose en gascón.;;;;;;;;;x;"
EVTOPTA_EU4CUL_7;Interesting...;Intéressant...;Intéressant...;;Interesante...;;;;;;;;;x;
"EVTDESC_EU4CUL_8;Frankish and German peoples have mixed in [Root.GetName], forming a Burgundian identity.;Peuples franques et allemands se sont mélangés dans [ Root.GetName ] , la formation d'une identité bourguignonne.;Fränkische und dem deutschen Volk haben in [ Root.GetName ] gemischt , eine burgundische Identität bilden.;;Pueblos francos y alemanes han mezclado en [ Root.GetName ] , formando una identidad de Borgoña.;;;;;;;;;x;"
EVTOPTA_EU4CUL_8;Interesting...;Intéressant...;Intéressant...;;Interesante...;;;;;;;;;x;
EVTDESC_EU4CUL_9;The people in [Root.GetName] have formed a Galician identity.;Les gens [ Root.GetName ] ont formé une identité galicienne.;Die Menschen in [ Root.GetName ] haben eine galicischen Identität gebildet.;;La gente de [ Root.GetName ] han formado una identidad gallega.;;;;;;;;;x;
EVTOPTA_EU4CUL_9;Interesting...;Intéressant...;Intéressant...;;Interesante...;;;;;;;;;x;
EVTDESC_EU4CUL_10;The people in [Root.GetName] have formed a Leonese identity.;Les gens [ Root.GetName ] ont formé une identité Leonese.;Die Menschen in [ Root.GetName ] haben eine Leonese Identität gebildet.;;La gente de [ Root.GetName ] han formado una identidad leonesa.;;;;;;;;;x;
EVTOPTA_EU4CUL_10;Interesting...;Intéressant...;Intéressant...;;Interesante...;;;;;;;;;x;
EVTDESC_EU4CUL_11;The people in [Root.GetName] have formed an Aragonese identity.;Les gens [ Root.GetName ] ont formé une identité Aragonais.;Die Menschen in [ Root.GetName ] haben eine aragonesischen Identität gebildet.;;La gente de [ Root.GetName ] han formado una identidad aragonesa.;;;;;;;;;x;
EVTOPTA_EU4CUL_11;Interesting...;Intéressant...;Intéressant...;;Interesante...;;;;;;;;;x;
EVTDESC_EU4CUL_12;The Arabic people in [Root.GetName] have formed a Moroccan identity.;Le peuple arabe dans [ Root.GetName ] ont formé une identité marocaine.;Die arabischen Menschen in [ Root.GetName ] haben eine marokkanische Identität gebildet.;;El pueblo árabe en [ Root.GetName ] han formado una identidad marroquí.;;;;;;;;;x;
EVTOPTA_EU4CUL_12;Interesting...;Intéressant...;Intéressant...;;Interesante...;;;;;;;;;x;
EVTDESC_EU4CUL_13;The Arabic people in [Root.GetName] have formed an Algerian identity.;Le peuple arabe dans [ Root.GetName ] ont formé une identité algérienne.;Die arabischen Menschen in [ Root.GetName ] haben eine algerische Identität gebildet.;;El pueblo árabe en [ Root.GetName ] han formado una identidad argelina.;;;;;;;;;x;
EVTOPTA_EU4CUL_13;Interesting...;Intéressant...;Intéressant...;;Interesante...;;;;;;;;;x;
EVTDESC_EU4CUL_14;The Arabic people in [Root.GetName] have formed a Tunisian identity.;Le peuple arabe dans [ Root.GetName ] ont formé une identité tunisienne.;Die arabischen Menschen in [ Root.GetName ] habeneine tunesische Identität gebildet.;;El pueblo árabe en [ Root.GetName ] han formado una identidad de Túnez.;;;;;;;;;x;
EVTOPTA_EU4CUL_14;Interesting...;Intéressant...;Intéressant...;;Interesante...;;;;;;;;;x;
EVTDESC_EU4CUL_15;The Arabic people in [Root.GetName] have formed a Libyan identity.;Le peuple arabe dans [ Root.GetName ] ont formé une identité libyenne.;Die arabischen Menschen in [ Root.GetName ] haben eine libysche Identität gebildet.;;El pueblo árabe en [ Root.GetName ] han formado una identidad de Libia.;;;;;;;;;x;
EVTOPTA_EU4CUL_15;Interesting...;Intéressant...;Intéressant...;;Interesante...;;;;;;;;;x;
EVTDESC_EU4CUL_16;The Arabic people in [Root.GetName] have formed a Palestinian identity.;Le peuple arabe dans [ Root.GetName ] ont formé une identité palestinienne.;Die arabischen Menschen in [ Root.GetName ] haben eine palästinensische Identität gebildet.;;El pueblo árabe en [ Root.GetName ] han formado una identidad palestina.;;;;;;;;;x;
EVTOPTA_EU4CUL_16;Interesting...;Intéressant...;Intéressant...;;Interesante...;;;;;;;;;x;
EVTDESC_EU4CUL_17;The Arabic people in [Root.GetName] have formed a Lebanese identity.;Le peuple arabe dans [ Root.GetName ] ont formé une identité libanaise.;Die arabischen Menschen in [ Root.GetName ] haben eine libanesische Identität gebildet.;;El pueblo árabe en [ Root.GetName ] han formado una identidad libanesa.;;;;;;;;;x;
EVTOPTA_EU4CUL_17;Interesting...;Intéressant...;Intéressant...;;Interesante...;;;;;;;;;x;
EVTDESC_EU4CUL_18;The Arabic people in [Root.GetName] have formed a Syrian identity.;Le peuple arabe dans [ Root.GetName ] ont formé une identité syrienne.;Die arabischen Menschen in [ Root.GetName ] haben eine syrische Identität gebildet.;;El pueblo árabe en [ Root.GetName ] han formado una identidad sirio.;;;;;;;;;x;
EVTOPTA_EU4CUL_18;Interesting...;Intéressant...;Intéressant...;;Interesante...;;;;;;;;;x;
EVTDESC_EU4CUL_19;The Arabic people in [Root.GetName] have formed a Mashriqi identity.;Le peuple arabe dans [ Root.GetName ] ont formé une identité mashriqi.;Die arabischen Menschen in [ Root.GetName ] haben eine Mashriqi Identität gebildet.;;El pueblo árabe en [ Root.GetName ] han formado una identidad Mashriqi.;;;;;;;;;x;
EVTOPTA_EU4CUL_19;Interesting...;Intéressant...;Intéressant...;;Interesante...;;;;;;;;;x;
EVTDESC_EU4CUL_20;The Arabic people in [Root.GetName] have formed a Hejazi identity.;Le peuple arabe dans [ Root.GetName ] ont formé une identité Hejazi.;Die arabischen Menschen in [ Root.GetName ] haben eine Hejazi Identität gebildet.;;El pueblo árabe en [ Root.GetName ] han formado una identidad Hejazi.;;;;;;;;;x;
EVTOPTA_EU4CUL_20;Interesting...;Intéressant...;Intéressant...;;Interesante...;;;;;;;;;x;
