#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
title_councilmember_everything1;Council Member;;;;;;;;;;;;;x
title_councilmember_everything2;Council Member;;;;;;;;;;;;;x
title_councilmember_everything3;Council Member;;;;;;;;;;;;;x
title_extra_king;Council Member;;;;;;;;;;;;;x
title_extra_emperor;Council Member;;;;;;;;;;;;;x
title_extra_senator1;Senator;;;;;;;;;;;;;x
title_extra_senator2;Senator;;;;;;;;;;;;;x
title_extra_senator3;Senator;;;;;;;;;;;;;x
title_councilmember_everything1_desc;Council Member;;;;;;;;;;;;;x
title_councilmember_everything2_desc;Council Member;;;;;;;;;;;;;x
title_councilmember_everything3_desc;Council Member;;;;;;;;;;;;;x
title_extra_king_desc;Council Member;;;;;;;;;;;;;x
title_extra_emperor_desc;Council Member;;;;;;;;;;;;;x
title_extra_senator1_desc;Senator of the Empire;;;;;;;;;;;;;x
title_extra_senator2_desc;Senator of the Empire;;;;;;;;;;;;;x
title_extra_senator3_desc;Senator of the Empire;;;;;;;;;;;;;x
