shango_staff;Staff of Shango;;;;;;;;;;;;;x
shango_staff_desc;The staff of the deified king, Shango. It grants the wielder prestige and authority, but it comes with the expectation of peace.;;;;;;;;;;;;;x
ekwensu_mask;Mask of Ekwensu;;;;;;;;;;;;;x
ekwensu_mask_desc;The mask of the trickster, Ekwensu. While not evil in and of itself, enemies of those who hold it seem to disappear...;;;;;;;;;;;;;x
sacred_amber;Sacred Amber Crown;;;;;;;;;;;;;x
sacred_amber_desc;A beautiful crown with a polished amber gem set in it. It is a symbol of the great wealth of amber harvested from the baltic.;;;;;;;;;;;;;x
yadachy_cloak;Yadachy Cloak;;;;;;;;;;;;;x
yadachy_cloak_desc;The cloak of a great Yadachy. It is a symbol of piety and authority.;;;;;;;;;;;;;x
baba_yaga_pestle_mortar;Pestle and mortar of Baba Yaga;;;;;;;;;;;;;x
baba_yaga_pestle_mortar_desc;The mortar and pestle of Baba Yaga. While it is a symbol of great power, they are considered to be wholly evil and corrupting.;;;;;;;;;;;;;x
firebird_plumage;Firebird's Plumage;;;;;;;;;;;;;x
firebird_plumage_desc;The plumage of a great firebird. It is said to bring great fortune to it's holder.;;;;;;;;;;;;;x
dragon_scale;Dragon Scale;;;;;;;;;;;;;x
dragon_scale_desc;The scale of a great mountain dragon. To hold one is to hold great power and strike fear into your enemies.;;;;;;;;;;;;;x
ukonvasara;Ukonvasara;;;;;;;;;;;;;x
ukonvasara_desc;The hammer of Ukko. It inspires soldiers, and demoralize opponents.;;;;;;;;;;;;;x
magic_kantele;Väinämöinen's Kantele;;;;;;;;;;;;;x
magic_kantele_desc; The first Kantele, crafted by the mage Väinämöinen. It is believed to have magical properties.;;;;;;;;;;;;;x
eye_of_ra;Eye of Ra;;;;;;;;;;;;;x
eye_of_ra_desc;The eye of the egyptian sun god, Ra. Ra is known for his benevolence and fertility.;;;;;;;;;;;;;x
helios_chariot;Chariot of Helios;;;;;;;;;;;;;x
helios_chariot_desc;The golden chariot driven across the sky by Helios, the sun titan.;;;;;;;;;;;;;x
