#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
lgm_make_consort;Take [Root.GetFirstName] as a concubine;;;;;;;;;;;;;x
lgm_make_consort_desc;Take a lover, prisoner, or slave as concubine, regardless of gender.;;;;;;;;;;;;;x
marry_gay_lover;Marry your Homosexual Lover;;;;;;;;;;;;;x
marry_gay_lover_desc;Marry your Homosexual Lover.;;;;;;;;;;;;;x
EVTDESCgay_marriage_events.0;Your lover, [From.GetFirstName] takes you by the hand, "Will you marry me, my love?";;;;;;;;;;;;;x
EVTOPTAgay_marriage_events.0;Yes My Heart.;;;;;;;;;;;;;x
EVTOPTBgay_marriage_events.0;I... No I can't.;;;;;;;;;;;;;x
EVTDESCgay_marriage_events.1;Your lover, [From.GetFirstName], has said yes;;;;;;;;;;;;;x
EVTOPTAgay_marriage_events.1;Wonderful News!;;;;;;;;;;;;;x
EVTOPTBgay_marriage_events.1;Wonderful News!;;;;;;;;;;;;;x
EVTDESCgay_marriage_events.2;Your lover, [From.GetFirstName], has said no;;;;;;;;;;;;;x
EVTOPTAgay_marriage_events.2;My heart...;;;;;;;;;;;;;x
