#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ostrogothic;Ostrogothic;;;;;;;;;;;;;x
vandalic;Vandalic;;;;;;;;;;;;;x
east_germanic;East Germanic;;;;;;;;;;;;;x #Group
burgundian;Burgundian;;;;;;;;;;;;;x
gustow;Gustow;;;;;;;;;;;;;x
old_bavarian;Old Bavarian;;;;;;;;;;;;;x
gepid;Gepid;;;;;;;;;;;;;x
vasconic;Vasconic;;;;;;;;;;;;;x #Group
paleo_iberian;Paleo-Iberian;;;;;;;;;;;;;x
vasconian;Vasconian;;;;;;;;;;;;;x
denziner;Denziner;;;;;;;;;;;;;x
lebus;Lebus;;;;;;;;;;;;;x
vidivarii;Vidivarii;;;;;;;;;;;;;x
rygir;Rygir;;;;;;;;;;;;;x
heruli;Heruli;;;;;;;;;;;;;x
skirian;Skirian;;;;;;;;;;;;;x
old_greek;Old Greek;;;;;;;;;;;;;x #Group
massalian;Massalian;;;;;;;;;;;;;x
spartan;Spartan;;;;;;;;;;;;;x
south_semitic;South Semitic;;;;;;;;;;;;;x #Group
hadhramaut;Hadhramaut;;;;;;;;;;;;;x
sabaean;Sabaean;;;;;;;;;;;;;x
minaean;Minaean;;;;;;;;;;;;;x
himyarite;Himyarite;;;;;;;;;;;;;x
khalan;Khalan;;;;;;;;;;;;;x
northwest_semitic;Nothwest Semitic;;;;;;;;;;;;;x #Group
nabatean;Nabatean;;;;;;;;;;;;;x
aramean;Aramean;;;;;;;;;;;;;x
samosatan;Samosatan;;;;;;;;;;;;;x
punic;Punic;;;;;;;;;;;;;x
tribal_arab;Tribal Arab;;;;;;;;;;;;;x
old_egyptian;Old Egyptian;;;;;;;;;;;;;x
