OFFMAP_GRACE_TOOLTIP;This is your current [Root.GetCurrency].;;;;;;;;;;;;;x
OFFMAP_LIKES_TOOLTIP;Likes $CURRENT|Y$;;;;;;;;;;;;;x
EMPEROR_LIKES_LABEL;Someone Likes $CURRENT|Y$;;;;;;;;;;;;;x
OFFMAP_GRACE_TOOLTIP_DESC;[Root.GetCurrency] can be gained and spend in various ways;;;;;;;;;;;;;x
OFFMAP_LIKES_AND_DISLIKES_DESC;...;;;;;;;;;;;;;x
OFFMAP_DISLIKES_TOOLTIP;Dislikes $CURRENT|Y$.;;;;;;;;;;;;;x
OFFMAP_VIEW_BUTTON_INSTANT;$OFFMAP|Y$\nOpen interaction with $OFFMAP_SHORT.;;;;;;;;;;;;;x
TEST_TOOLTIP_OFFMAP;Some RANDOM Sentence!!!;;;;;;;;;;;;;x
PDP_labeltest;[ThePope.GetTitledName] Sentence [Root.GetName]!!!;;;;;;;;;;;;;x
PDP_tooltiptest;[ThePope.GetTitledName] tooltip [Root.GetName]!!;;;;;;;;;;;;;x
offmap_church_papal_btn;Papal Actions;;;;;;;;;;;;;x
offmap_church_info_button;Information;;;;;;;;;;;;;x
offmap_church_papal_btn_desc;Actions only the Pope can use.;;;;;;;;;;;;;x
offmap_church_vote_topic_initiator;Proposed by [k_papal_state.offmap_church_voting_initiator.GetTitledName].;;;;;;;;;;;;;x
offmap_church_vote_topic_btn;The [Root.GetName] is currently discussing: [GetOffmapChurchVoteTopic]\n(Proposed by [k_papal_state.offmap_church_voting_initiator.GetTitledName])\n\nWhen enacted, the following effects will be active: \n[GetOffmapChurchVoteTopicEffect]\n\n * Current votes in favour: [k_papal_state.offmap_church_pro_votes.GetValue] \n * Current votes against: [k_papal_state.offmap_church_contra_votes.GetValue];;;;;;;;;;;;;x
offmap_church_vote_for_btn;Vote Pro;;;;;;;;;;;;;x
offmap_church_vote_for_btn_desc;Vote in favour the current proposal. (Hover over "Topic" to learn more);;;;;;;;;;;;;x
offmap_church_vote_against_btn;Vote Contra;;;;;;;;;;;;;x
offmap_church_vote_against_btn_desc;Vote against of the current proposal. (Hover over "Topic" to learn more);;;;;;;;;;;;;x
offmap_church_vote_no;Vote Contra;;;;;;;;;;;;;x
offmap_church_vote_no_desc;Vote against the proposal.;;;;;;;;;;;;;x
offmap_church_vote_yes;Vote Pro;;;;;;;;;;;;;x
offmap_church_vote_yes_desc;Vote in favour of the proposal.;;;;;;;;;;;;;x
offmap_church_contra_votes;Contra Votes;;;;;;;;;;;;;x
offmap_church_pro_votes;Pro Votes;;;;;;;;;;;;;x
offmap_church_vote_proposal_btn;Propose a Topic;;;;;;;;;;;;;x
offmap_church_vote_proposal_btn_desc;If you are in a position which allows you to make proposals, and there is no topic under discussion at the moment and there hasn't been one in the recent past, you may make a proposal, which will be discussed by the highest members of the Catholic Church. If they accept your proposal, it's effects will become active.;;;;;;;;;;;;;x
offmap_church_vote_deal_btn;Influence Election;;;;;;;;;;;;;x
offmap_church_vote_deal_btn_desc;Use your Influence to raise the chances that other characters will vote for your proposal.;;;;;;;;;;;;;x
offmap_church_show_votes;Show votes;;;;;;;;;;;;;x
offmap_church_show_votes_desc;Show who voted for what.;;;;;;;;;;;;;x
offmap_church_influence_voting;Influence Electors;;;;;;;;;;;;;x
