#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
loot_axe;+2' Axe (2);;;;;;;;;;;;;;x
strange_chest;Strange Chest (1);;;;;;;;;;;;;;x
necronomicon;The Necronomicon (4);;;;;;;;;;;;;;x
cursed_diamond;Cursed Diamond (3);;;;;;;;;;;;;;x
cursed_diamond_crown;Cursed Diamond Crown (4);;;;;;;;;;;;;;x
rival_skull;Skull trophy (1);;;;;;;;;;;;;;x
magnificent_painting;Magnificent Painting (1);;;;;;;;;;;;;;x
avant_garde_painting;Avant Garde Painting (1);;;;;;;;;;;;;;x
finger_of_st_john;Finger of St. John (2);;;;;;;;;;;;;;x
prosthetic_hand_gold;Gold Hand (2);;;;;;;;;;;;;;x
prosthetic_hand_metal;Iron Hand (2);;;;;;;;;;;;;;x
prosthetic_leg_artifact;Prosthetic Leg (2);;;;;;;;;;;;;;x
famous_head;Head of a [This.GetArtifactSourceCap] (1);;;;;;;;;;;;;;x
famous_tongue;Tongue of a [This.GetArtifactSourceCap] (1);;;;;;;;;;;;;;x
infamous_tongue;Tongue of an Unbeliever (1);;;;;;;;;;;;;;x
famous_hand;Hand of a [This.GetArtifactSourceCap] (1);;;;;;;;;;;;;;x
famous_arm;Arm of a [This.GetArtifactSourceCap] (1);;;;;;;;;;;;;;x
famous_foot;Foot of a [This.GetArtifactSourceCap] (1);;;;;;;;;;;;;;x
famous_ancient_weapon;Ancient Rusty Weapon (1);;;;;;;;;;;;;;x
iron_crown_of_lombardy;Iron Crown of Lombardy (4);;;;;;;;;;;;;;x
shroud_of_jesus;Shroud of Jesus (5);;;;;;;;;;;;;;x
spear_of_destiny;Lance of Longinus (5);;;;;;;;;;;;;;x
holy_grail;Holy Grail (5);;;;;;;;;;;;;;x
holy_chalice;Holy Grail (5);;;;;;;;;;;;;;x
bones_of_st_peter;Bones of St. Peter (5);;;;;;;;;;;;;;x
crown_of_thorns;Crown of Thorns (4);;;;;;;;;;;;;;x
seamless_robe_of_jesus;Seamless Robe of Jesus (4);;;;;;;;;;;;;;x
fragment_of_true_cross;Nail of the True Cross (3);;;;;;;;;;;;;;x
holy_foreskin;Holy Prepuce (3);;;;;;;;;;;;;;x
fingerbone_of_saint;Saint's Fingerbone (1);;;;;;;;;;;;;;x
chains_of_st_peter;Chains of St. Peter (2);;;;;;;;;;;;;;x
right_hand_st_demetrius;Right Hand of St. Demetrius (2);;;;;;;;;;;;;;x
veil_of_veronica;Veil of Veronica (2);;;;;;;;;;;;;;x
image_of_edessa;Image of Edessa (3);;;;;;;;;;;;;;x
remains_of_st_cessianus;Remains of St. Cessianus (2);;;;;;;;;;;;;;x
weeping_statue;Weeping Statue (2);;;;;;;;;;;;;;x
staff_of_moses;Staff of Moses (5);;;;;;;;;;;;;;x
davids_harp;King David's Harp (5);;;;;;;;;;;;;;x
ark_of_the_covenant;Ark of the Covenant (5);;;;;;;;;;;;;;x
seal_of_solomon;Seal of Solomon (4);;;;;;;;;;;;;;x
tabernacle;The Tabernacle (3);;;;;;;;;;;;;;x
davids_sling;King David's Sling (2);;;;;;;;;;;;;;x
seal_of_mohammad;Seal of Mohammad (5);;;;;;;;;;;;;;x
holy_banner_of_mohammad;Holy Banner of Mohammad (5);;;;;;;;;;;;;;x
blessed_mantle;Blessed Mantle (5);;;;;;;;;;;;;;x
sword_of_mohammad;Sword of Mohammad (4);;;;;;;;;;;;;;x
blessed_sandals;Blessed Sandals (4);;;;;;;;;;;;;;x
letter_of_mohammad;Letter of Mohammad (3);;;;;;;;;;;;;;x
cloak_of_mohammad;Cloak of Mohammad (3);;;;;;;;;;;;;;x
mohammads_bowl;Mohammad's Bowl (2);;;;;;;;;;;;;;x
mohammads_beard;Hair from the Beard of Mohammad (2);;;;;;;;;;;;;;x
water_of_blessed_mantle;Water of the Blessed Mantle (1);;;;;;;;;;;;;;x
tooth_of_mohammad;Tooth of Mohammad (2);;;;;;;;;;;;;;x
cup_of_jamshid;Cup of Jamshid (5);;;;;;;;;;;;;;x
babr_e_bayan;Babr-e-Bayan (5);;;;;;;;;;;;;;x
derafsh_kaviani;Derafsh Kaviani (4);;;;;;;;;;;;;;x
cyrus_cylinder;Cyrus Cylinder (3);;;;;;;;;;;;;;x
haoma_sapling;Haoma Sapling (2);;;;;;;;;;;;;;x
keshmar_cypress_branch;Branch of the Keshmar Cypress (1);;;;;;;;;;;;;;x
mjolnir;Mjolnir (5);;;;;;;;;;;;;;x
andvaranaut;Andvaranaut (5);;;;;;;;;;;;;;x
gjallarhorn;Gjallarhorn (3);;;;;;;;;;;;;;x
fetish_of_souls;The Fetish of Souls (5);;;;;;;;;;;;;;x
sampo;Sampo (5);;;;;;;;;;;;;;x
axe_of_perun;Axe of Perun (5);;;;;;;;;;;;;;x
axe_of_perkunas;Axe of Perkunas (5);;;;;;;;;;;;;;x
yada_tashy;Yada Tashy (5);;;;;;;;;;;;;;x
buddhas_tooth;The Tooth of Buddha  (5);;;;;;;;;;;;;;x
mountain_of_light_diamond;The Mountain of Light (5);;;;;;;;;;;;;;x
elaborate_danda;Jewelled Danda (3);;;;;;;;;;;;;;x
sarira;Sarira (2);;;;;;;;;;;;;;x
sariraka_actual_body_part;Sariraka Bone (3);;;;;;;;;;;;;;x
magnum_opus_theurgy_ritual_1;Magnum Opus on Ritualistic Theurgy (1);;;;;;;;;;;;;;x
magnum_opus_theurgy_ritual_2;Magnum Opus on Ritualistic Theurgy (2);;;;;;;;;;;;;;x
magnum_opus_theurgy_ritual_3;Magnum Opus on Ritualistic Theurgy (3);;;;;;;;;;;;;;x
magnum_opus_theurgy_ritual_4;Magnum Opus on Ritualistic Theurgy (4);;;;;;;;;;;;;;x
magnum_opus_theurgy_contemplation_1;Magnum Opus on Contemplative Theurgy (1);;;;;;;;;;;;;;x
magnum_opus_theurgy_contemplation_2;Magnum Opus on Contemplative Theurgy (2);;;;;;;;;;;;;;x
magnum_opus_theurgy_contemplation_3;Magnum Opus on Contemplative Theurgy (3);;;;;;;;;;;;;;x
magnum_opus_theurgy_contemplation_4;Magnum Opus on Contemplative Theurgy (4);;;;;;;;;;;;;;x
magnum_opus_astrology_stars_1;Magnum Opus on Stellar Astrology (1);;;;;;;;;;;;;;x
magnum_opus_astrology_stars_2;Magnum Opus on Stellar Astrology (2);;;;;;;;;;;;;;x
magnum_opus_astrology_stars_3;Magnum Opus on Stellar Astrology (3);;;;;;;;;;;;;;x
magnum_opus_astrology_stars_4;Magnum Opus on Stellar Astrology (4);;;;;;;;;;;;;;x
magnum_opus_astrology_planets_1;Magnum Opus on Planetary Astrology (1);;;;;;;;;;;;;;x
magnum_opus_astrology_planets_2;Magnum Opus on Planetary Astrology (2);;;;;;;;;;;;;;x
magnum_opus_astrology_planets_3;Magnum Opus on Planetary Astrology (3);;;;;;;;;;;;;;x
magnum_opus_astrology_planets_4;Magnum Opus on Planetary Astrology (4);;;;;;;;;;;;;;x
magnum_opus_alchemy_panacea_1;Magnum Opus on Universal Panacea (1);;;;;;;;;;;;;;x
magnum_opus_alchemy_panacea_2;Magnum Opus on Universal Panacea (2);;;;;;;;;;;;;;x
magnum_opus_alchemy_panacea_3;Magnum Opus on Universal Panacea (3);;;;;;;;;;;;;;x
magnum_opus_alchemy_panacea_4;Magnum Opus on Universal Panacea (4);;;;;;;;;;;;;;x
magnum_opus_alchemy_transmutation_1;Magnum Opus on Transmutative Alchemy (1);;;;;;;;;;;;;;x
magnum_opus_alchemy_transmutation_2;Magnum Opus on Transmutative Alchemy (2);;;;;;;;;;;;;;x
magnum_opus_alchemy_transmutation_3;Magnum Opus on Transmutative Alchemy (3);;;;;;;;;;;;;;x
magnum_opus_alchemy_transmutation_4;Magnum Opus on Transmutative Alchemy (4);;;;;;;;;;;;;;x
hermetic_handgun;Handgun (3);;;;;;;;;;;;;;x
hermetic_compass;Magnetic Compass (3);;;;;;;;;;;;;;x
radius_astronomicus;Radius Astronomicus (3);;;;;;;;;;;;;;x
hermetic_cypher_machine;Cipher Disc (2);;;;;;;;;;;;;;x
hermetic_plate_armor;Plate Armor (1);;;;;;;;;;;;;;x
hermetic_glasses;Spectacles (1);;;;;;;;;;;;;;x
emerald_tablet;Emerald Tablet (4);;;;;;;;;;;;;;x
ingredient_herb1;Ingredient: Hibiscus;;;;;;;;;;;;;;x
ingredient_herb2;Ingredient: Ginger Root;;;;;;;;;;;;;;x
ingredient_herb3;Ingredient: Mandrake;;;;;;;;;;;;;;x
