#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;;
CHAR_AGE;Health: §Y[This.GetHealth]§!, Fertility: §Y[This.GetFertility]§!, Age;Health: §Y[This.GetHealth]§!, Fertility: §Y[This.GetFertility]§!, Âge ;Gesundheit: §Y[This.GetHealth]§!, Fruchtbarkeit: §Y[This.GetFertility]§!, Alter;;Health: §Y[This.GetHealth]§!, Fertility: §Y[This.GetFertility]§!, Edad;;;;;;;;;x;;
0%;0%;;;;;;;;;;;;;x;;
5%;5%;;;;;;;;;;;;;x;;
10%;10%;;;;;;;;;;;;;x;;
15%;15%;;;;;;;;;;;;;x;;
20%;20%;;;;;;;;;;;;;x;;
25%;25%;;;;;;;;;;;;;x;;
30%;30%;;;;;;;;;;;;;x;;
35%;35%;;;;;;;;;;;;;x;;
40%;40%;;;;;;;;;;;;;x;;
45%;45%;;;;;;;;;;;;;x;;
50%;50%;;;;;;;;;;;;;x;;
55%;55%;;;;;;;;;;;;;x;;
60%;60%;;;;;;;;;;;;;x;;
65%;65%;;;;;;;;;;;;;x;;
70%;70%;;;;;;;;;;;;;x;;
75%;75%;;;;;;;;;;;;;x;;
80%;80%;;;;;;;;;;;;;x;;
85%;85%;;;;;;;;;;;;;x;;
90%;90%;;;;;;;;;;;;;x;;
95%;95%;;;;;;;;;;;;;x;;
100%;100%;;;;;;;;;;;;;x;;
105%;105%;;;;;;;;;;;;;x;;
110%;110%;;;;;;;;;;;;;x;;
115%;115%;;;;;;;;;;;;;x;;
120%;120%;;;;;;;;;;;;;x;;
125%;125%;;;;;;;;;;;;;x;;
130%;130%;;;;;;;;;;;;;x;;
135%;135%;;;;;;;;;;;;;x;;
140%;140%;;;;;;;;;;;;;x;;
145%;145%;;;;;;;;;;;;;x;;
150%;150%;;;;;;;;;;;;;x;;
155%;155%;;;;;;;;;;;;;x;;
160%;160%;;;;;;;;;;;;;x;;
165%;165%;;;;;;;;;;;;;x;;
170%;170%;;;;;;;;;;;;;x;;
175%;175%;;;;;;;;;;;;;x;;
180%;180%;;;;;;;;;;;;;x;;
185%;185%;;;;;;;;;;;;;x;;
190%;190%;;;;;;;;;;;;;x;;
195%;195%;;;;;;;;;;;;;x;;
200%;200%;;;;;;;;;;;;;x;;
0.0;0.0;;;;;;;;;;;;;x;;
0.5;0.5;;;;;;;;;;;;;x;;
1.0;1.0;;;;;;;;;;;;;x;;
1.5;1.5;;;;;;;;;;;;;x;;
2.0;2.0;;;;;;;;;;;;;x;;
2.5;2.5;;;;;;;;;;;;;x;;
3.0;3.0;;;;;;;;;;;;;x;;
3.5;3.5;;;;;;;;;;;;;x;;
4.0;4.0;;;;;;;;;;;;;x;;
4.5;4.5;;;;;;;;;;;;;x;;
5.0;5.0;;;;;;;;;;;;;x;;
5.5;5.5;;;;;;;;;;;;;x;;
6.0;6.0;;;;;;;;;;;;;x;;
6.5;6.5;;;;;;;;;;;;;x;;
7.0;7.0;;;;;;;;;;;;;x;;
7.5;7.5;;;;;;;;;;;;;x;;
8.0;8.0;;;;;;;;;;;;;x;;
8.5;8.5;;;;;;;;;;;;;x;;
9.0;9.0;;;;;;;;;;;;;x;;
9.5;9.5;;;;;;;;;;;;;x;;
10.0;10.0;;;;;;;;;;;;;x;;
10.5;10.5;;;;;;;;;;;;;x;;
11.0;11.0;;;;;;;;;;;;;x;;
11.5;11.5;;;;;;;;;;;;;x;;
12.0;12.0;;;;;;;;;;;;;x;;
12.5;12.5;;;;;;;;;;;;;x;;
13.0;13.0;;;;;;;;;;;;;x;;
13.5;13.5;;;;;;;;;;;;;x;;
14.0;14.0;;;;;;;;;;;;;x;;
14.5;14.5;;;;;;;;;;;;;x;;
15.0;15.0;;;;;;;;;;;;;x;;
15.5;15.5;;;;;;;;;;;;;x;;
16.0;16.0;;;;;;;;;;;;;x;;
16.5;16.5;;;;;;;;;;;;;x;;
17.0;17.0;;;;;;;;;;;;;x;;
17.5;17.5;;;;;;;;;;;;;x;;
18.0;18.0;;;;;;;;;;;;;x;;
18.5;18.5;;;;;;;;;;;;;x;;
19.0;19.0;;;;;;;;;;;;;x;;
19.5;19.5;;;;;;;;;;;;;x;;
20.0;20.0;;;;;;;;;;;;;x;;
