nivkh;Nivkh;;;;;;;;;;;;x;
paleosiberian;Paleosiberian;;;;;;;;;;;;x;
jeju;Jeju;;;;;;;;;;;;x;
koreanic;Koreanic;;;;;;;;;;;;x;
emishi;Emishi;;;;;;;;;;;;x;
wako;Wako;;;;;;;;;;;;x;
yamato;Yamato;;;;;;;;;;;;x;
japonic;Japonic;;;;;;;;;;;;x;
she;She;;;;;;;;;;;;x;
tujia;Tujia;;;;;;;;;;;;x;
yi;Yi;;;;;;;;;;;;x;
min;Min;;;;;;;;;;;;x;
nakhi;Nakhi;;;;;;;;;;;;x;
bai;Bai;;;;;;;;;;;;x;
yue;Yue;;;;;;;;;;;;x;
kaifeng;Kaifeng;;;;;;;;;;;;x;
balinese;Balinese;;;;;;;;;;;;x;
minahasan;Minahasan;;;;;;;;;;;;x;
acehnese;Acehnese;;;;;;;;;;;;x;
malayo_polynesian_group;Malayo-Polynesian;;;;;;;;;;;;x;
tai_kadai_group;Tai Kadai;;;;;;;;;;;;x;
mon_khmer_group;Mon Khmer;;;;;;;;;;;;x;
ila_tonga;Ila Tonga;;;;;;;;;;;;x;
jivaro;Jivaro;;;;;;;;;;;;x;
maranon;Maranon;;;;;;;;;;;;x;
australia_group;Australian;;;;;;;;;;;;x;
