#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
hellenistic;Hellenistic;;;;;;;;;;;;;x
rhomaion;Rhomaion;;;;;;;;;;;;;x
indohellenic;Indohellenic;;;;;;;;;;;;;x
gandharan;Gandharan;;;;;;;;;;;;;x
sogdian;Sogdian;;;;;;;;;;;;;x
sinohellenic;Sinohellenic;;;;;;;;;;;;;x
viethellenic;Viethellenic;;;;;;;;;;;;;x
vlach;Vlach;;;;;;;;;;;;;x
romanobrython;Romano-Briton;;;;;;;;;;;;;x
galloroman;Gallo-Roman;;;;;;;;;;;;;x
romanogothic;Romano-Gothic;;;;;;;;;;;;;x
parthian;Parthian;;;;;;;;;;;;;x
sarmatian;Sarmatian;;;;;;;;;;;;;x
semitic;Semitic;;;;;;;;;;;;;x
sabaean;Sabaean;;;;;;;;;;;;;x
jewish;Hebrew;;;;;;;;;;;;;x
syroaramean;Aramean;;;;;;;;;;;;;x
nabatean;Nabatean;;;;;;;;;;;;;x
phoenician;Phoenician;;;;;;;;;;;;;x
saqaliba;Saqaliba;;;;;;;;;;;;;x
berberic;Berberic;;;;;;;;;;;;;x
berber;Berber;;;;;;;;;;;;;x
guanchinet;Guanche;;;;;;;;;;;;;x
caucasian;Caucasian;;;;;;;;;;;;;x
armenian;Armenian;;;;;;;;;;;;;x
georgian;Georgian;;;;;;;;;;;;;x
aghbanian;Aghbanian;;;;;;;;;;;;;x
geat;Geatish;;;;;;;;;;;;;x
varangian;Varangian;;;;;;;;;;;;;x
teutonic;Theudish;;;;;;;;;;;;;x
vandal;Vandal;;;;;;;;;;;;;x
suevic;Suevic;;;;;;;;;;;;;x
ostrogothic;Ostrogothic;;;;;;;;;;;;;x
saxon;Saxon;;;;;;;;;;;;;x
brython;Briton;;;;;;;;;;;;;x
lusitanian;Lusitanian;;;;;;;;;;;;;x
galatian;Galatian;;;;;;;;;;;;;x
sarmatobrython;Sarmato-Briton;;;;;;;;;;;;;x
hunnic;Hunnic;;;;;;;;;;;;;x
xiongnu;Xiongnu;;;;;;;;;;;;;x
bantu;Bantu;;;;;;;;;;;;;x
amaravi;Amaravi;;;;;;;;;;;;;x
hutu;Hutu;;;;;;;;;;;;;x
fipa;Fipa;;;;;;;;;;;;;x
makonde;Makonde;;;;;;;;;;;;;x
muganda;Baganda;;;;;;;;;;;;;x
shona;Gokomere;;;;;;;;;;;;;x
swahili;Swahili;;;;;;;;;;;;;x
zulu;Zulu;;;;;;;;;;;;;x
nilo_saharan;Nilo-Saharan;;;;;;;;;;;;;x
sao;Sao;;;;;;;;;;;;;x
fur;Fur;;;;;;;;;;;;;x
luo;Luo;;;;;;;;;;;;;x
congo_nigerian;Congo-Nigerian;;;;;;;;;;;;;x
akan;Akan;;;;;;;;;;;;;x
serer;Soninke;;;;;;;;;;;;;x
mandinka;Mandinka;;;;;;;;;;;;;x
fula;Fula;;;;;;;;;;;;;x
zande;Zande;;;;;;;;;;;;;x
ethiopic;Ethiopic;;;;;;;;;;;;;x
macrobian;Macrobian;;;;;;;;;;;;;x
slovakian;Slovakian;;;;;;;;;;;;;x
sorbian;Sorbian;;;;;;;;;;;;;x
polabian;Polaban;;;;;;;;;;;;;x
slovene;Slovene;;;;;;;;;;;;;x
nenets;Samoyed;;;;;;;;;;;;;x
hindavi;Hindustani;;;;;;;;;;;;;x
maghada;Maghada;;;;;;;;;;;;;x
saurashtra;Saurashtra;;;;;;;;;;;;;x
tuluva;Tuluva;;;;;;;;;;;;;x
telugu;Telungu;;;;;;;;;;;;;x
zhao;Zhao Chinese;;;;;;;;;;;;;x
inuit;Inuit;;;;;;;;;;;;;x
tuniq;Tuniq;;;;;;;;;;;;;x
austronesian;Austronesian;;;;;;;;;;;;;x
dienviet;Vietnamese;;;;;;;;;;;;;x
javanese;Javanese;;;;;;;;;;;;;x
