#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
temple_barony_of_zun_pagan;Sun Altar of;Autel Solaire de;Sonnenaltar von;;Altar Solar de;;;;;;;;;x
temple_barony_of_norse_pagan;Shrine of;Tombeau de;Schrein von;;Santuario de;;;;;;;;;x
temple_barony_of_baltic_pagan;Sanctuary of;Sanctuaire de;Heiligtum von;;Santuario de;;;;;;;;;x
temple_barony_of_slavic_pagan;Shrine of;Tombeau de;Schrein von;;Santuario de;;;;;;;;;
temple_barony_of_finnish_pagan;Shrine of;Tombeau de;Schrein von;;Santuario de;;;;;;;;;
temple_barony_of_west_african_pagan;Shrine of;Tombeau de;Schrein von;;Santuario de;;;;;;;;;
temple_barony_of_tengri_pagan;Shrine of;Tombeau de;Schrein von;;Santuario de;;;;;;;;;
temple_barony_of_hellenic_pagan;Shrine of;Tombeau de;Schrein von;;Santuario de;;;;;;;;;
temple_baron_baltic_pagan;Priest;Pretre;Priester;;Sacerdote;;;;;;;;;
temple_baron_baltic_pagan_reformed;Priest;Pretre;Priester;;Sacerdote;;;;;;;;;
temple_baron_finnish_pagan;Priest;Pretre;Priester;;Sacerdote;;;;;;;;;
temple_baron_finnish_pagan_reformed;Priest;Pretre;Priester;;Sacerdote;;;;;;;;;
temple_baron_slavic_pagan;Priest;Pretre;Priester;;Sacerdote;;;;;;;;;
temple_baron_slavic_pagan_reformed;Priest;Pretre;Priester;;Sacerdote;;;;;;;;;
temple_barony_of_jewish;Synagogue of;Synagogue de;Synagoge von;;Sinagoga de;;;;;;;;;
temple_barony_of_bon;Shrine of;Tombeau de;Schrein von;;Santuario de;;;;;;;;;
