#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#########By SoulV078
#####################################################################################
nick_the_crimson_king;The Crimson King;;;;;;;;;;;;;x
nick_the_crimson_queen;The Crimson Queen;;;;;;;;;;;;;x
nick_the_rock_golem;The Rock Golem;;;;;;;;;;;;;x
nick_the_winter_wolf;The Winter Wolf;;;;;;;;;;;;;x
nick_the_impotent;The impotent;;;;;;;;;;;;;x
nick_the_dying;The dying;;;;;;;;;;;;;x
nick_the_holy_lord;The Holy Lord;;;;;;;;;;;;;x
nick_the_holy_lady;The Holy Lady;;;;;;;;;;;;;x
nick_the_clear_sky;The Clear sky;;;;;;;;;;;;;x
nick_the_swordmaster;The SwordMaster;;;;;;;;;;;;;x
nick_the_jingoistic_reclaimers;The Jingoistic Reclaimers;;;;;;;;;;;;;x
nick_the_doctrinal_enforcers;The Doctrinal Enforcers;;;;;;;;;;;;;x
nick_the_nice_kid;The Nice kid;;;;;;;;;;;;;x
nick_the_iron_griffin;The Iron Griffin;;;;;;;;;;;;;x
nick_the_champion_idiot;The Champion idiot;;;;;;;;;;;;;x
nick_the_fool;The Fool;;;;;;;;;;;;;x
nick_the_phoenix;The Phoenix;;;;;;;;;;;;;x
nick_the_golden_eyes;The Golden eyes;;;;;;;;;;;;;x
nick_the_leviathan;The Leviathan;;;;;;;;;;;;;x
nick_the_siren;The Siren;;;;;;;;;;;;;x
nick_the_sword_of_revolt;The Sword of revolt;;;;;;;;;;;;;x
nick_the_morning_star;The Morning Star;;;;;;;;;;;;;x
nick_the_cunning_fox;The Cunning fox;;;;;;;;;;;;;x
nick_the_miser;The miser;;;;;;;;;;;;;x
nick_the_reassurance;The Reassurance;;;;;;;;;;;;;x
nick_the_devourer;The Devourer;;;;;;;;;;;;;x
nick_the_skeleton;The Skeleton;;;;;;;;;;;;;x
nick_the_insulter;The Insulter;;;;;;;;;;;;;x
nick_the_religion_power_crusher;The Religion power crusher;;;;;;;;;;;;;x
nick_the_ant;The ant;;;;;;;;;;;;;x
nick_the_demon;The Demon;;;;;;;;;;;;;x
nick_the_holy_fury;The Holy Fury;;;;;;;;;;;;;x
nick_the_iceberg_beauty;The Iceberg Beauty;;;;;;;;;;;;;x
nick_the_quibble;The Quibble;;;;;;;;;;;;;x
nick_the_popular;The Popular;;;;;;;;;;;;;x
nick_the_joker;The Joker;;;;;;;;;;;;;x
nick_the_big_mouth;The Big mouth;;;;;;;;;;;;;x
nick_the_pig;The Pig;;;;;;;;;;;;;x
nick_the_storm;The Storm;;;;;;;;;;;;;x
nick_the_fang;The Fang;;;;;;;;;;;;;x
nick_the_mad_cat;The Mad Cat;;;;;;;;;;;;;x
nick_the_evil_one_eyed;The Evil One-Eyed;;;;;;;;;;;;;x
nick_the_noble_king;The Noble King;;;;;;;;;;;;;x
nick_the_diamond_queen;The Diamond Queen;;;;;;;;;;;;;x
nick_the_frosty_night_bow;The Frosty Night Bow;;;;;;;;;;;;;x
nick_the_desert;The Desert;;;;;;;;;;;;;x
nick_the_cute;The cute;;;;;;;;;;;;;x
nick_the_porphyrogenitos;The Porphyrogenitos;;;;;;;;;;;;;x
nick_the_lecher;The Lecher;;;;;;;;;;;;;x
nick_the_slut;The Slut;;;;;;;;;;;;;x
nick_the_gorilla;The Gorilla;;;;;;;;;;;;;x
nick_the_cage;The cage;;;;;;;;;;;;;x
nick_the_sharp_sword;The Sharp sword;;;;;;;;;;;;;x
nick_the_relations_knitter;The Relations Knitter;;;;;;;;;;;;;x
