in_ruins;In Ruins;;;;;;;;;;;;;x
fully_looted;Fully Looted;;;;;;;;;;;;;x
burned_churches;Burned Churches;;;;;;;;;;;;;x
destroyed_defenses;Destroyed Defenses;;;;;;;;;;;;;x
raiders;Raiders;;;;;;;;;;;;;x
heretics;Heretics;;;;;;;;;;;;;x
rebels;Rebels;;;;;;;;;;;;;x
thieves;Thieves;;;;;;;;;;;;;x
corruption;Corruption;;;;;;;;;;;;;x
in_ruins_desc;This province has been completely destroyed.;;;;;;;;;;;;;x
burned_churches_authority;Burned Churches in Sieges;;;;;;;;;;;;;x
ruined_holding;Ruined Holding;;;;;;;;;;;;;x
raided_holding;Raided Holding;;;;;;;;;;;;;x
