#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

xianbei;Serbi;Serbi;Serbi;;Serbi;;;;;;;;;x
korean;Goryeo;Goryeo;Goryeo;;Goryeo;;;;;;;;;x
tangut;Mina;Mina;Mina;;Mina;;;;;;;;;x
wuman;Wuman;Wuman;Wuman;;Wuman;;;;;;;;;x
baiman;Baiman;Baiman;Baiman;;Baiman;;;;;;;;;x
dongman;Dongman;Dongman;Dongman;;Dongman;;;;;;;;;x
xiongnu;Hunnu;Hunnu;Hunnu;;Hunnu;;;;;;;;;x
tuhun;Thoghon;Thoghon;Thoghon;;Thoghon;;;;;;;;;x
tatar;Tatar;Tatar;Tatar;;Tatar;;;;;;;;;x
shatuo;Shatuo;Shatuo;Shatuo;;Shatuo;;;;;;;;;x
shiwei;Shirwi;Shirwi;Shirwi;;Shirwi;;;;;;;;;x
vietnamese;Viet;Viet;Viet;;Viet;;;;;;;;;x
bohai;Balhae;Balhae;Balhae;;Balhae;;;;;;;;;x
khitan;Qitai;Qitai;Qitai;;Qitai;;;;;;;;;x
qay;Qay;Qay;Qay;;Qay;;;;;;;;;x
liao;Raeuz;Raeuz;Raeuz;;Raeuz;;;;;;;;;x
liliao;Hlai;Hlai;Hlai;;Hlai;;;;;;;;;x
