atlantean;Atlantean;;;;;;;;;;;;;x
e_atlantis;Atlantis;;;;;;;;;;;;;x
e_atlantis_adj;Atlantean;;;;;;;;;;;;;x
e_atlantis_landed;Atlantis;;;;;;;;;;;;;x
e_atlantis_landed_adj;Atlantean;;;;;;;;;;;;;x
EVTNAME_ATLI_001;A Strange Galley;;;;;;;;;;;;;x
EVTDESC_ATLI_001;Odd looking strangers in strange galley came ashore today, requesting an audience. They spoke an very archaic form of greek language, but it seems that they wanted to buy land to found a colony!;;;;;;;;;;;;;x
EVTOPTA_ATLI_001;I have a bad feeling about this...;;;;;;;;;;;;;x
EVTNAME_ATLI_002;Strangers from Western Seas;;;;;;;;;;;;;x
EVTDESC_ATLI_002;There are rumours of exotic strangers in weird galleys making landfall all along the Atlantic coast, speaking on archaic form of greek language, trying to buy land to establish a colony. After refusing their offers, local rulers were apparently threatened with the might of mighty king beyond the Atlantic Ocean and a might of kingdom of Atlantis.;;;;;;;;;;;;;x
EVTOPTA_ATLI_002;Atlantis? Hasn't it drowned ages ago?;;;;;;;;;;;;;x
EVTDESC_ATLI_003;Thousands of menacing galleys have arrived off the shores of [From.SeaZone.GetName], spilling out numberless legions of warriors in a strangely familiar armor which could be seen on the ancient ruins of temples and cities. Atlantis has begun its invasion!;;;;;;;;;;;;;x
EVTOPTA_ATLI_003;It's the End of Days!;;;;;;;;;;;;;x
EVTNAME_ATLI_004;Atlantis Invasion;;;;;;;;;;;;;x
EVTDESC_ATLI_004;Thousands of menacing galleys have arrived off the shores of [From.SeaZone.GetName], spilling out numberless legions of warriors in a strangely familiar armor which could be seen on the ancient ruins of temples and cities. They speak archaic greek language and worship forgotten gods - Zeus, Poseidon, Athena and Ares. Atlantis has begun its invasion!;;;;;;;;;;;;;x
EVTOPTA_ATLI_004;[This.Religion.GetRandomGodNameCap] have Mercy!;;;;;;;;;;;;;x
EVTDESC_ATLI_005;A forest of sails has appeared on the horizon - the fleet of Atlantis has reached our shores!;;;;;;;;;;;;;x
EVTOPTA_ATLI_005;Saddle my Horse!;;;;;;;;;;;;;x
EVTNAME_ATLI_006;Atlantis Invasion;;;;;;;;;;;;;x
EVTDESC_ATLI_006;Another huge fleet of the atlanteans has been sighted in [From.SeaZone.GetName]. The leader of the invaders vowed that the banner of Atlantis would fly over all the shores of all seas.;;;;;;;;;;;;;x
EVTOPTA_ATLI_006;[This.Religion.GetRandomGodNameCap] have Mercy!;;;;;;;;;;;;;x
EVTOPTB_ATLI_006;More reinforcements? Good.;;;;;;;;;;;;;x
EVTNAME_ATLI_035;Delicacies From the Far West;Les Plaisirs de l'Ouest;Delikatessen aus dem fernen Westen;;Exquisiteces del Extremo Oriente;;;;;;;;;x
EVTDESC_ATLI_035;Not only war the atlantean have brought with them from Atlantis and far western land beyond. Their diet includes not only already known food, but also several strange plants that are supposedly edible, and many of these are now enjoyed as exotic delicacies in courts across Europe and the Middle East.\n\nAfter trading with atlantians merchants, enterprising farmers have sowed their fields with the seeds of a plant called "overseas truffles", while others experiment with "golden apples" (which are, in fact, red) and zea. Many nobles, however, have become enamored with a sweet drink called 'Theobroma', made of the beans of the Theobroma tree.;;;;;;;;;;;;;x
EVTOPTA_ATLI_035;A passing fad. It will never catch on.;;;;;;;;;;;;;x
EVTOPTB_ATLI_035_B;How did they lived without all this delisious food?;;;;;;;;;;;;;x
EVTNAME_ATLI_105;The Atlanteans Meet With Defeat;;;;;;;;;;;;;x
EVTDESC_ATLI_105;The great army of Atlantis that crossed the ocean in search of its ancestral home and new colonies was thrown back into the sea. Their colonies have been lost and their armies vanquished. The pitiful remnants of their invasion force has set sail back towards their islands of Atlantis to lick their wounds and inform the Basileus of their defeat.\n\nPerhaps in the future Atlantis will drown as in legends, or it will be destroyed by a retaliatory strike from the kingdoms of Europe. Time will tell.;;;;;;;;;;;;;x
EVTNAME_ATLI_042;The Lost Homeland;;;;;;;;;;;;;x
