#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
hist_york;Blood of Edmund Langley;;;;;;;;;;;;;x
hist_york_desc;This character is descendant of The House of York, a cadet branch of the English royal House of Plantagenet. Three of its members became Kings of England in the late 15th century. The House of York was descended in the male line from Edmund of Langley, 1st Duke of York, the fourth surviving son of Edward III, but also represented Edward's senior line, being cognatic descendants of Lionel, Duke of Clarence, Edward III's second surviving son. It is based on these descents that they claimed the English crown. Compared with the House of Lancaster, it had a senior claim to the throne of England according to cognatic primogeniture but junior claim according to the agnatic primogeniture.;;;;;;;;;;;;;x
hist_lancaster;Blood of Edmund Crouchback;;;;;;;;;;;;;x
hist_lancaster_desc;The proud descedant of The House of Lancaster, a cadet branch of the royal House of Plantagenet. Henry III of England created the Earldom of Lancaster—from which the house was named—for his second son Edmund Crouchback in 1267. The family provided England with three kings: Henry IV, who ruled from 1399 to 1413, Henry V (1413–1422), and Henry VI (1422–1461 and 1470–1471). The House became extinct in the male line upon the murder in the Tower of London of Henry VI following the battlefield execution of his son Edward of Westminster, Prince of Wales by supporters of the House of York in 1471.;;;;;;;;;;;;;x
hist_bourchier;Blood of John de Bourchier;;;;;;;;;;;;;x
hist_bourchier_desc;This character is a proud descendant of John de Bourchier (d.circa 1330), who was an English Judge of the Common Pleas and the earliest ancestor, about whose life substantial details are known, of the noble and prolific Bourchier family, which in its various branches later held the titles Barons Bourchier, Counts of Eu, Viscounts Bourchier, Earls of Essex, Barons Berners, Barons FitzWarin and Earls of Bath. Bourchier fought in the Battle of Bosworth in 1485 on the side of King Richard III.;;;;;;;;;;;;;x
hist_delapole;Blood of William de la Pole;;;;;;;;;;;;;x
hist_delapole_desc;This character is a proud descendant of Sir William de la Pole (died 21 June 1366) - a wealthy wool merchant in Kingston upon Hull, a royal moneylender and briefly, Chief Baron of the Exchequer. He established the de la Pole family as one of the primary houses of England through his mercantile and financial success. The descendants of William de la Pole were notable figures in English history for the next 150 years, including several Dukes of Suffolk, and descendants who took part in the actions of the Hundred Years War with France. The familys fortunes changed with the loss of the English throne by the House of York in the late 15th century. His direct male descendent William de la Pole (1478–1539) was incarcerated in the tower of London by Henry VII, and his possessions confiscated due to a potential claim to the throne as an heir to the deposed line from Richard III, he was executed on the command of Henry VIII in 1513.;;;;;;;;;;;;;x
hist_howard;Blood of Hereward the Wake;;;;;;;;;;;;;x
hist_howard_desc;"This character is a proud descendant of The Howard family - an English aristocratic family founded by John Howard, Duke of Norfolk, in 1483. After the English Reformation many Howards remained steadfast in their Catholic faith as the most high profile recusant family. The Howards claim as their ancestor Hereward the Wake who was of local Mercian background and resisted the Norman conquest of England from his base at the Isle of Ely; he has since become a mainstay of English folklore. It is claimed that he was the son of Leofric, Earl of Mercia and Lady Godiva. Ultimately this ancestry traces back to a point of origin in Leicester. While legendary pedigrees trace the family to the 10th century, indisputable descent begins with Sir William Howard (died 1308), a judge who was in the House of Commons in the Model Parliament of 1295.";;;;;;;;;;;;;
;;;;;;;;;;;;;x;
hist_herbert;Blood of Black William;;;;;;;;;;;;;x
hist_herbert_desc;This character is a proud descendant of The Herbert family - an Anglo-Welsh dynasty founded by William Herbert, known as Black William, the son of William ap Thomas, founder of Raglan Castle, a follower of Edward IV of England in the Wars of the Roses. The name Herbert originated in 1461 when William was granted the title Baron Herbert of Raglan, having assumed an English-style surname in place of his Welsh patronymic, ap William. Herbert supported the Yorkist cause in the Wars of the Roses.;;;;;;;;;;;;;
;;;;;;;;;;;;;x;
hist_stanley;Blood of Ligulf of Aldithley;;;;;;;;;;;;;x
hist_stanley_desc;This character is the descendant of the Stanley family - a family with many notable members including the Earls of Derby who are descended from the early holders of Audley, Staffordshire. The descent of the Stanley family can be traced back as far as an Englishman named Ligulf of Aldithley, who held the estate not long after the Domesday survey at 1086. The title of Earl of Derby was conferred to Thomas Stanley in 1485 by his stepson Henry VII after the Battle of Bosworth Field where Thomas decided not to support King Richard III.;;;;;;;;;;;;;
;;;;;;;;;;;;;x;
hist_tudor;Blood of Rhys ap Tewdwr;;;;;;;;;;;;;x
hist_tudor_desc;The Tudor dynasty is a royal house of Welsh origin, descended from Prince Rhys ap Tewdwr, that ruled the Kingdom of England and its realms, including the Lordship of Ireland, later the Kingdom of Ireland, from 1485. Its first monarch was Henry VII, a descendant through his mother of a legitimised branch of the English royal House of Lancaster. The Tudor family rose to power in the wake of the Wars of the Roses, which left the House of Lancaster, to which the Tudors were aligned, extinct.;;;;;;;;;;;;;
;;;;;;;;;;;;;x;
hist_percy;Blood of William de Percy;;;;;;;;;;;;;x
hist_percy_desc;The House of Percy were the most powerful noble family in northern England for much of the Middle Ages, having descended from William de Percy (d.1096), a Norman who crossed over to England after William the Conqueror in early December 1067, was created 1st feudal baron of Topcliffe in Yorkshire, and was rebuilding York Castle in 1070. The name derives from the manor of Percy-en-Auge in Normandy, the home of the family at the time of the Norman Conquest. Members have held the titles of Earl of Northumberland or Duke of Northumberland to this day, in addition to Baron Percy and other titles. In common with their rivals, the House of Neville, the Percy surname twice died out in the male line but was re-adopted by the husband of a Percy heiress and by their descendants. In the 12th century, the original Percy line was represented by Agnes de Percy, whose son by her husband Joscelin of Louvain adopted the surname Percy.;;;;;;;;;;;;;
;;;;;;;;;;;;;x;
hist_neville;Blood of Uthred;;;;;;;;;;;;;x
