#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x


############Game rules############
RULE_GROUP_IPC;IPC;;;;;;;;;;;;;x

rule_starting_ipc_courts_byzantine;§BIPC:§! Byzantine Imperial Court;;;;;;;;;;;;;x
rule_starting_ipc_courts_byzantine_default_desc;If it exists, the Byzantine Empire will start with an Imperial Court.;;;;;;;;;;;;;x
rule_starting_ipc_courts_byzantine_off_desc;The Byzantine Empire will §RNOT§! start with an Imperial Court.;;;;;;;;;;;;;x

rule_starting_ipc_courts_hre;§BIPC:§! HRE Imperial Court;;;;;;;;;;;;;x
rule_starting_ipc_courts_hre_default_desc;If it exists, the Holy Roman Empire will start with an Imperial Court.;;;;;;;;;;;;;x
rule_starting_ipc_courts_hre_off_desc;The Holy Roman Empire will §RNOT§! start with an Imperial Court.;;;;;;;;;;;;;x

rule_starting_ipc_courts_arabia;§BIPC:§! Arabian Imperial Court;;;;;;;;;;;;;x
rule_starting_ipc_courts_arabia_default_desc;If it exists, the Arabian Empire will start with an Imperial Court.;;;;;;;;;;;;;x
rule_starting_ipc_courts_arabia_off_desc;The Arabian Empire will §RNOT§! start with an Imperial Court.;;;;;;;;;;;;;x

############Artifacts############
empire_tribute_chest;Tribute Chest;;;;;;;;;;;;;x
empire_tribute_chest_custom;Tribute Chest of [From.OriginalOwner.GetTitledFirstName];;;;;;;;;;;;;x
empire_tribute_chest_desc;A large chest brimming with gold and silver coins, given by [From.OriginalOwner.GetTitledFirstName] to [From.Owner.GetTitledFirstName].;;;;;;;;;;;;;x


############Buildings############
ipc_imperial_buildings_tooltip;Must be built by members of the Imperial Court through the §YImprove the Imperial Capital§! mission;;;;;;;;;;;;;x
ipc_imperial_barracks_1;Imperial Barracks;;;;;;;;;;;;;x
ipc_imperial_barracks_2;Imperial Barracks;;;;;;;;;;;;;x
ipc_imperial_barracks_3;Imperial Barracks;;;;;;;;;;;;;x
ipc_imperial_barracks_1_desc;This building trains and houses an elite corps of professional soldiers loyal only to the will of their liege.;;;;;;;;;;;;;x
ipc_imperial_training_grounds_1;Imperial Mustering Grounds;;;;;;;;;;;;;x
ipc_imperial_training_grounds_2;Imperial Mustering Grounds;;;;;;;;;;;;;x
ipc_imperial_training_grounds_3;Imperial Mustering Grounds;;;;;;;;;;;;;x
ipc_imperial_training_grounds_1_desc;The vast fields of the Drill Grounds are where the great armies of the realm gather to drill and prepare for war.;;;;;;;;;;;;;x
ipc_imperial_tax_center_1;Imperial Tax Office;;;;;;;;;;;;;x
ipc_imperial_tax_center_2;Imperial Tax Center;;;;;;;;;;;;;x
ipc_imperial_tax_center_3;Imperial Tax Bureau;;;;;;;;;;;;;x
ipc_imperial_tax_center_1_desc;All great empires run on coin. This building centralises the realm's taxation bureaucracy so that they can more effectively perform their duties.;;;;;;;;;;;;;x
ipc_imperial_library_1;Imperial Library;;;;;;;;;;;;;x
ipc_imperial_library_2;Imperial Archives;;;;;;;;;;;;;x
ipc_imperial_library_3;Great Library of [FromFrom.GetName];;;;;;;;;;;;;x
ipc_imperial_library_1_desc;A somewhat impressive library containing knowledge gathered from all corners of the realm.;;;;;;;;;;;;;x
ipc_imperial_library_2_desc;In addition to more common titles, this magnificent building houses a good number of rare and delicate texts.;;;;;;;;;;;;;x
ipc_imperial_library_3_desc;The incomparable collections housed within this great library draw scholars from all across the known world.;;;;;;;;;;;;;x
ipc_imperial_council_halls_1;Imperial Council Halls;;;;;;;;;;;;;x
ipc_imperial_council_halls_2;Imperial Council Halls;;;;;;;;;;;;;x
ipc_imperial_council_halls_3;Imperial Council Halls;;;;;;;;;;;;;x
ipc_imperial_council_halls_1_desc;Located close to the [FromFrom.Holder.GetTitle]'s residence, these corridors of power are filled with the sounds of bickering elites and functionaries jostling for position at court.;;;;;;;;;;;;;x
ipc_imperial_palace_1;Imperial Palace;;;;;;;;;;;;;x
ipc_imperial_palace_2;Magnificent Imperial Palace;;;;;;;;;;;;;x
ipc_imperial_palace_3;Great Palace of [FromFrom.GetName];;;;;;;;;;;;;x
ipc_imperial_palace_1_desc;A large palace constructed for the [FromFrom.Holder.GetTitle] to serve as the administrative seat of power in the empire.;;;;;;;;;;;;;x
ipc_imperial_palace_3_desc;The jewel of the empire, this building is vast, beautiful, and very impressive, and serves as the realm's seat of power.;;;;;;;;;;;;;x


############Traits############
ipc_imperial_administrator;Imperial Bureaucrat;;;;;;;;;;;;;x
ipc_imperial_administrator_desc;Prefering an administrative role to a military one, this character excels at keeping the wheels of empire turning.;;;;;;;;;;;;;x
ipc_imperial_aristrocrat;Imperial Aristrocrat;;;;;;;;;;;;;x
