#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x


############Societies############

imperial_court_christian_1;Imperial Court of [imperial_court_christian_1_title.GetName];;;;;;;;;;;;;x
imperial_court_christian_1_desc;The ambitious and ruthless elites of the [Root.TopLiege.GetTitle]'s court strive to fulfil their goals and those of their [Root.TopLiege.GetMasterMistress]. The more powerful the court grows the more it will be able to accomplish. But the [Root.TopLiege.GetTitle] must be sure to maintain control, or else [Root.TopLiege.GetSheHe] will find [Root.TopLiege.GetHerHis] authority challenged.;;;;;;;;;;;;;x
imperial_court_christian_2;Imperial Court of [imperial_court_christian_2_title.GetName];;;;;;;;;;;;;x
imperial_court_christian_2_desc;The ambitious and ruthless elites of the [Root.TopLiege.GetTitle]'s court strive to fulfil their goals and those of their [Root.TopLiege.GetMasterMistress]. The more powerful the court grows the more it will be able to accomplish. But the [Root.TopLiege.GetTitle] must be sure to maintain control, or else [Root.TopLiege.GetSheHe] will find [Root.TopLiege.GetHerHis] authority challenged.;;;;;;;;;;;;;x
imperial_court_christian_3;Imperial Court of [imperial_court_christian_3_title.GetName];;;;;;;;;;;;;x
imperial_court_christian_3_desc;The ambitious and ruthless elites of the [Root.TopLiege.GetTitle]'s court strive to fulfil their goals and those of their [Root.TopLiege.GetMasterMistress]. The more powerful the court grows the more it will be able to accomplish. But the [Root.TopLiege.GetTitle] must be sure to maintain control, or else [Root.TopLiege.GetSheHe] will find [Root.TopLiege.GetHerHis] authority challenged.;;;;;;;;;;;;;x

imperial_court_muslim_1;Imperial Court of [imperial_court_muslim_1_title.GetName];;;;;;;;;;;;;x
imperial_court_muslim_1_desc;The ambitious and ruthless elites of the [Root.TopLiege.GetTitle]'s court strive to fulfil their goals and those of their [Root.TopLiege.GetMasterMistress]. The more powerful the court grows the more it will be able to accomplish. But the [Root.TopLiege.GetTitle] must be sure to maintain control, or else [Root.TopLiege.GetSheHe] will find [Root.TopLiege.GetHerHis] authority challenged.;;;;;;;;;;;;;x
imperial_court_muslim_2;Imperial Court of [imperial_court_muslim_2_title.GetName];;;;;;;;;;;;;x
imperial_court_muslim_2_desc;The ambitious and ruthless elites of the [Root.TopLiege.GetTitle]'s court strive to fulfil their goals and those of their [Root.TopLiege.GetMasterMistress]. The more powerful the court grows the more it will be able to accomplish. But the [Root.TopLiege.GetTitle] must be sure to maintain control, or else [Root.TopLiege.GetSheHe] will find [Root.TopLiege.GetHerHis] authority challenged.;;;;;;;;;;;;;x
imperial_court_muslim_3;Imperial Court of [imperial_court_muslim_3_title.GetName];;;;;;;;;;;;;x
imperial_court_muslim_3_desc;The ambitious and ruthless elites of the [Root.TopLiege.GetTitle]'s court strive to fulfil their goals and those of their [Root.TopLiege.GetMasterMistress]. The more powerful the court grows the more it will be able to accomplish. But the [Root.TopLiege.GetTitle] must be sure to maintain control, or else [Root.TopLiege.GetSheHe] will find [Root.TopLiege.GetHerHis] authority challenged.;;;;;;;;;;;;;x

imperial_court_pagan_1;Imperial Court of [imperial_court_pagan_1_title.GetName];;;;;;;;;;;;;x
imperial_court_pagan_1_desc;The ambitious and ruthless elites of the [Root.TopLiege.GetTitle]'s court strive to fulfil their goals and those of their [Root.TopLiege.GetMasterMistress]. The more powerful the court grows the more it will be able to accomplish. But [Root.TopLiege.GetTitledFirstName] must be sure to maintain control, or else [Root.TopLiege.GetSheHe] will find [Root.TopLiege.GetHerHis] authority challenged.;;;;;;;;;;;;;x
imperial_court_pagan_2;Imperial Court of [imperial_court_pagan_2_title.GetName];;;;;;;;;;;;;x
imperial_court_pagan_2_desc;The ambitious and ruthless elites of the [Root.TopLiege.GetTitle]'s court strive to fulfil their goals and those of their [Root.TopLiege.GetMasterMistress]. The more powerful the court grows the more it will be able to accomplish. But [Root.TopLiege.GetTitledFirstName] must be sure to maintain control, or else [Root.TopLiege.GetSheHe] will find [Root.TopLiege.GetHerHis] authority challenged.;;;;;;;;;;;;;x
imperial_court_pagan_3;Imperial Court of [imperial_court_pagan_3_title.GetName];;;;;;;;;;;;;x
imperial_court_pagan_3_desc;The ambitious and ruthless elites of the [Root.TopLiege.GetTitle]'s court strive to fulfil their goals and those of their [Root.TopLiege.GetMasterMistress]. The more powerful the court grows the more it will be able to accomplish. But [Root.TopLiege.GetTitledFirstName] must be sure to maintain control, or else [Root.TopLiege.GetSheHe] will find [Root.TopLiege.GetHerHis] authority challenged.;;;;;;;;;;;;;x

imperial_court_eastern_1;Imperial Court of [imperial_court_eastern_1_title.GetName];;;;;;;;;;;;;x
imperial_court_eastern_1_desc;The ambitious and ruthless elites of the [Root.TopLiege.GetTitle]'s court strive to fulfil their goals and those of their [Root.TopLiege.GetMasterMistress]. The more powerful the court grows the more it will be able to accomplish. But [Root.TopLiege.GetTitledFirstName] must be sure to maintain control, or else [Root.TopLiege.GetSheHe] will find [Root.TopLiege.GetHerHis] authority challenged.;;;;;;;;;;;;;x
imperial_court_eastern_2;Imperial Court of [imperial_court_eastern_2_title.GetName];;;;;;;;;;;;;x
imperial_court_eastern_2_desc;The ambitious and ruthless elites of the [Root.TopLiege.GetTitle]'s court strive to fulfil their goals and those of their [Root.TopLiege.GetMasterMistress]. The more powerful the court grows the more it will be able to accomplish. But [Root.TopLiege.GetTitledFirstName] must be sure to maintain control, or else [Root.TopLiege.GetSheHe] will find [Root.TopLiege.GetHerHis] authority challenged.;;;;;;;;;;;;;x
imperial_court_eastern_3;Imperial Court of [imperial_court_eastern_3_title.GetName];;;;;;;;;;;;;x
imperial_court_eastern_3_desc;The ambitious and ruthless elites of the [Root.TopLiege.GetTitle]'s court strive to fulfil their goals and those of their [Root.TopLiege.GetMasterMistress]. The more powerful the court grows the more it will be able to accomplish. But [Root.TopLiege.GetTitledFirstName] must be sure to maintain control, or else [Root.TopLiege.GetSheHe] will find [Root.TopLiege.GetHerHis] authority challenged.;;;;;;;;;;;;;x

imperial_court_byzantine;Imperial Court of the Byzantine Empire;;;;;;;;;;;;;x
