#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESCMA1;After a long effort we succeeded in unearthing bust of Julius Caesar.;;;;;;;;;;;;;x
EVTNAMEMA2;Leonidas's Helmet;;;;;;;;;;;;;x
EVTDESCMA2;After a long effort we succeeded in unearthing Leonidas's Helmet! This is an impressive feat and will bring glory to our House.;;;;;;;;;;;;;x
EVTNAMEMA3;Athena's Spear;;;;;;;;;;;;;x
EVTDESCMA3;After a long effort we succeeded in unearthing Athena's Spear! This is an impressive feat and will bring glory to our House.;;;;;;;;;;;;;x
EVTNAMEMA4;Justitia's Scales;;;;;;;;;;;;;x
EVTDESCMA4;After a long effort we succeeded in unearthing Justitia's Scales! This is an impressive feat and will bring glory to our House.;;;;;;;;;;;;;x
EVTNAMEMA5;Alexander's Shield;;;;;;;;;;;;;x
EVTDESCMA5;After a long effort we succeeded in unearthing Alexander's Shield! This is an impressive feat and will bring glory to our House.;;;;;;;;;;;;;x
EVTDESCMA6;After a long effort we succeeded in unearthing Rome's Golden Snake Bracelet. This is an impressive feat and will bring glory to our House.;;;;;;;;;;;;;x
EVTNAMEMA7;Gungnir;;;;;;;;;;;;;x
EVTDESCMA7;After a long effort we succeeded in unearthing Gungnir! This is an impressive feat and will bring glory to our House.;;;;;;;;;;;;;x
EVTNAMEMA8;Mistilteinn;;;;;;;;;;;;;x
EVTDESCMA8;After a long effort we succeeded in unearthing Mistilteinn! This is an impressive feat and will bring glory to our House.;;;;;;;;;;;;;x
EVTDESCMA9;After a long effort we succeeded in unearthing Draupnir. This is an impressive feat and will bring glory to our House.;;;;;;;;;;;;;x
EVTNAMEMA10;Brisingamen;;;;;;;;;;;;;x
EVTDESCMA10;After a long effort we succeeded in unearthing Brisingamen! This is an impressive feat and will bring glory to our House.;;;;;;;;;;;;;x
EVTNAMEMA11;Mokosh's Soil;;;;;;;;;;;;;x
EVTDESCMA11;After a long effort we succeeded in unearthing Mokosh's Soil! This is an impressive feat and will bring glory to our House.;;;;;;;;;;;;;x
EVTNAMEMA12;Dazhbog's Amulet;;;;;;;;;;;;;x
EVTDESCMA12;After a long effort we succeeded in unearthing Dazhbog's Amulet! This is an impressive feat and will bring glory to our House.;;;;;;;;;;;;;x
EVTDESCMA13;After a long effort we succeeded in unearthing Skull Cane. This is an impressive feat and will bring glory to our House.;;;;;;;;;;;;;x
EVTNAMEMA14;Tengri's Bow;;;;;;;;;;;;;x
EVTDESCMA14;After a long effort we succeeded in unearthing Tengri's Bow! This is an impressive feat and will bring glory to our House.;;;;;;;;;;;;;x
EVTDESCMA15;After a long effort we succeeded in unearthing Great Khan's Saddle. This is an impressive feat and will bring glory to our House.;;;;;;;;;;;;;x
EVTNAMEMA16;Velnias's Shield;;;;;;;;;;;;;x
EVTDESCMA16;After a long effort we succeeded in unearthing Velnias's Shield! This is an impressive feat and will bring glory to our House.;;;;;;;;;;;;;x
EVTDESCMA17;After a long effort we succeeded in unearthing Dievas's Ring. This is an impressive feat and will bring glory to our House.;;;;;;;;;;;;;x
EVTNAMEMA18;Amber of Jurate;;;;;;;;;;;;;x
EVTDESCMA18;After a long effort we succeeded in unearthing Amber of Jurate! This is an impressive feat and will bring glory to our House.;;;;;;;;;;;;;x
EVTNAMEMA19;Ukko's Axe;;;;;;;;;;;;;x
EVTDESCMA19;After a long effort we succeeded in unearthing Ukko's Axe! This is an impressive feat and will bring glory to our House.;;;;;;;;;;;;;x
EVTNAMEMA20;Vainamoinen's Kantele;;;;;;;;;;;;;x
EVTDESCMA20;After a long effort we succeeded in unearthing Vainamoinen's Kantele! This is an impressive feat and will bring glory to our House.;;;;;;;;;;;;;x
EVTDESCMA21;After a long effort we succeeded in unearthing Eshu Staff. This is an impressive feat and will bring glory to our House.;;;;;;;;;;;;;x
EVTNAMEMA22;Creator Mask;;;;;;;;;;;;;x
EVTDESCMA22;After a long effort we succeeded in unearthing Creator Mask! This is an impressive feat and will bring glory to our House.;;;;;;;;;;;;;x
EVTNAMEMA23;Small Totem with Ancestral Spirits;;;;;;;;;;;;;x
EVTDESCMA23;After a long effort we succeeded in unearthing Small Totem with Ancestral Spirits! This is an impressive feat and will bring glory to our House.;;;;;;;;;;;;;x
EVTNAMEMA24;Tezcatlipoca's Mirror;;;;;;;;;;;;;x
EVTDESCMA24;After a long effort we succeeded in unearthing Tezcatlipoca's Mirror! This is an impressive feat and will bring glory to our House.;;;;;;;;;;;;;x
EVTNAMEMA25;Xiuhtecuhtli's Mask;;;;;;;;;;;;;x
EVTDESCMA25;After a long effort we succeeded in unearthing Xiuhtecuhtli's Mask! This is an impressive feat and will bring glory to our House.;;;;;;;;;;;;;x
EVTNAMEMA26;Huitzilopochtli's Macuahuitl;;;;;;;;;;;;;x
EVTDESCMA26;After a long effort we succeeded in unearthing Huitzilopochtli's Macuahuitl! This is an impressive feat and will bring glory to our House.;;;;;;;;;;;;;x
EVTNAMEMA27;Xolotl's Knife;;;;;;;;;;;;;x
EVTDESCMA27;After a long effort we succeeded in unearthing Xolotl's Knife! This is an impressive feat and will bring glory to our House.;;;;;;;;;;;;;x
EVTNAMEMA28;Sunlight Maggot;;;;;;;;;;;;;x
EVTDESCMA28;After a long effort we succeeded in unearthing Sunlight Maggot! This is an impressive feat and will bring glory to our House.\n\n Praise the Sun!;;;;;;;;;;;;;x
EVTNAMEMA29;Sunlight Straight Sword;;;;;;;;;;;;;x
EVTDESCMA29;After a long effort we succeeded in unearthing Sunlight Straight Sword! This is an impressive feat and will bring glory to our House.\n\n Praise the Sun!;;;;;;;;;;;;;x
EVTNAMEMA30;Armor of the Sun;;;;;;;;;;;;;x
EVTDESCMA30;After a long effort we succeeded in unearthing Armor of the Sun! This is an impressive feat and will bring glory to our House.\n\n Praise the Sun!;;;;;;;;;;;;;x
EVTDESCMA31;After a long effort we succeeded in unearthing Bon Picture. This is an impressive feat and will bring glory to our House.;;;;;;;;;;;;;x
EVTNAMEMA32;Khatvanga;;;;;;;;;;;;;x
EVTDESCMA32;After a long effort we succeeded in unearthing Khatvanga! This is an impressive feat and will bring glory to our House.;;;;;;;;;;;;;x
#New Patch 1.1
EVTNAMEMA33;Cornucopia;;;;;;;;;;;;;x
EVTDESCMA33;After a long effort we succeeded in unearthing Cornucopia! This is an impressive feat and will bring glory to our House.;;;;;;;;;;;;;x
EVTNAMEMA34;Petasus;;;;;;;;;;;;;x
EVTDESCMA34;After a long effort we succeeded in unearthing Petasus! This is an impressive feat and will bring glory to our House.;;;;;;;;;;;;;x
EVTNAMEMA35;Asclepius' Staff;;;;;;;;;;;;;x
EVTDESCMA35;After a long effort we succeeded in unearthing Asclepius' Staff! This is an impressive feat and will bring glory to our House.;;;;;;;;;;;;;x
EVTNAMEMA36;Excalibur;;;;;;;;;;;;;x
EVTDESCMA36;After a long effort we succeeded in unearthing Excalibur! This is an impressive feat and will bring glory to our House.;;;;;;;;;;;;;x
EVTDESCMA37;After a long effort we succeeded in unearthing Druid's Axe. This is an impressive feat and will bring glory to our House.;;;;;;;;;;;;;x
EVTDESCMA38;After a long effort we succeeded in unearthing Cintamani Stone. This is an impressive feat and will bring glory to our House.;;;;;;;;;;;;;x
EVTNAMEMA39;Green Dragon Crescent Blade;;;;;;;;;;;;;x
EVTDESCMA39;After a long effort we succeeded in unearthing Green Dragon Crescent Blade! This is an impressive feat and will bring glory to our House.;;;;;;;;;;;;;x
#New Patch 1.2
EVTNAMEMA40;Iron Helm;;;;;;;;;;;;;x
EVTDESCMA40;After a long effort we succeeded in unearthing Iron Helm! This is an impressive feat and will bring glory to our House.\n\n Praise the Sun!;;;;;;;;;;;;;x
EVTDESCMA41;After a long effort we succeeded in unearthing Hrunting. This is an impressive feat and will bring glory to our House.;;;;;;;;;;;;;x
EVTDESCMA42;After a long effort we succeeded in unearthing Nagling. This is an impressive feat and will bring glory to our House.;;;;;;;;;;;;;x
EVTDESCMA43;After a long effort we succeeded in unearthing Gleipnir. This is an impressive feat and will bring glory to our House.;;;;;;;;;;;;;x
EVTDESCMA44;After a long effort we succeeded in unearthing Mimir's Head. This is an impressive feat and will bring glory to our House.;;;;;;;;;;;;;x
EVTNAMEMA45;Singasteinn;;;;;;;;;;;;;x
EVTDESCMA45;After a long effort we succeeded in unearthing Singasteinn! This is an impressive feat and will bring glory to our House.;;;;;;;;;;;;;x
EVTDESCMA46;After a long effort we succeeded in unearthing Angurvadal. This is an impressive feat and will bring glory to our House.;;;;;;;;;;;;;x
EVTDESCMA47;After a long effort we succeeded in unearthing Skofnung. This is an impressive feat and will bring glory to our House.;;;;;;;;;;;;;x
EVTNAMEMA48;Aegishjalmur;;;;;;;;;;;;;x
EVTDESCMA48;After a long effort we succeeded in unearthing Aegishjalmur! This is an impressive feat and will bring glory to our House.;;;;;;;;;;;;;x
EVTNAMEMA49;Bragi's Harp;;;;;;;;;;;;;x
EVTDESCMA49;After a long effort we succeeded in unearthing Bragi's Harp! This is an impressive feat and will bring glory to our House.;;;;;;;;;;;;;x
EVTDESCMA50;After a long effort we succeeded in unearthing Eitur. This is an impressive feat and will bring glory to our House.;;;;;;;;;;;;;x
EVTNAMEMA51;Balmung;;;;;;;;;;;;;x
EVTDESCMA51;After a long effort we succeeded in unearthing Balmung! This is an impressive feat and will bring glory to our House.;;;;;;;;;;;;;x
#New Patch 1.3
EVTDESCMA52;After a long effort we succeeded in unearthing Keyur. This is an impressive feat and will bring glory to our House.;;;;;;;;;;;;;x
EVTNAMEMA53;Makarakundala;;;;;;;;;;;;;x
EVTDESCMA53;After a long effort we succeeded in unearthing Makarakundala! This is an impressive feat and will bring glory to our House.;;;;;;;;;;;;;x
EVTNAMEMA54;Khanda;;;;;;;;;;;;;x
EVTDESCMA54;After a long effort we succeeded in unearthing Khanda! This is an impressive feat and will bring glory to our House.;;;;;;;;;;;;;x
EVTNAMEMA55;Parashu;;;;;;;;;;;;;x
EVTDESCMA55;After a long effort we succeeded in unearthing Parashu! This is an impressive feat and will bring glory to our House.;;;;;;;;;;;;;x
EVTDESCMA56;After a long effort we succeeded in unearthing Archimedes's Mirror. This is an impressive feat and will bring glory to our House.;;;;;;;;;;;;;x
EVTDESCMA57;After a long effort we succeeded in unearthing Cup of Heracles. This is an impressive feat and will bring glory to our House.;;;;;;;;;;;;;x
EVTNAMEMA58;Aphrodite's Cloth;;;;;;;;;;;;;x
EVTDESCMA58;After a long effort we succeeded in unearthing Aphrodite's Cloth! This is an impressive feat and will bring glory to our House.;;;;;;;;;;;;;x
EVTNAMEMA59;Kladenets;;;;;;;;;;;;;x
EVTDESCMA59;After a long effort we succeeded in unearthing Kladenets! This is an impressive feat and will bring glory to our House.;;;;;;;;;;;;;x
EVTNAMEMA60;Scythian Comb;;;;;;;;;;;;;x
EVTDESCMA60;After a long effort we succeeded in unearthing Scythian Comb! This is an impressive feat and will bring glory to our House.;;;;;;;;;;;;;x
EVTDESCMA61;After a long effort we succeeded in unearthing Scythian Stag. This is an impressive feat and will bring glory to our House.;;;;;;;;;;;;;x
EVTDESCMA62;After a long effort we succeeded in unearthing Scythian Warrior. This is an impressive feat and will bring glory to our House.;;;;;;;;;;;;;x
EVTDESCMA63;After a long effort we succeeded in unearthing Scythian Bracelet. This is an impressive feat and will bring glory to our House.;;;;;;;;;;;;;x
EVTDESCMA64;After a long effort we succeeded in unearthing Scythian Necklace. This is an impressive feat and will bring glory to our House.;;;;;;;;;;;;;x
EVTNAMEMA65;Scythian Pectoral;;;;;;;;;;;;;x
EVTDESCMA65;After a long effort we succeeded in unearthing Scythian Pectoral! This is an impressive feat and will bring glory to our House.;;;;;;;;;;;;;x
#New Patch 1.4
EVTDESCMA66;After a long effort we succeeded in unearthing Golem. This is an impressive feat and will bring glory to our House.;;;;;;;;;;;;;x
EVTNAMEMA67;Joshua's Shofars;;;;;;;;;;;;;x
EVTDESCMA67;After a long effort we succeeded in unearthing Joshua's Shofars! This is an impressive feat and will bring glory to our House.;;;;;;;;;;;;;x
EVTNAMEMA68;Book of Life;;;;;;;;;;;;;x
EVTDESCMA68;After a long effort we succeeded in unearthing Book of Life! This is an impressive feat and will bring glory to our House.;;;;;;;;;;;;;x
EVTNAMEMA69;Aaron's Rod;;;;;;;;;;;;;x
EVTDESCMA69;After a long effort we succeeded in unearthing Aaron's Rod! This is an impressive feat and will bring glory to our House.;;;;;;;;;;;;;x
EVTNAMEMA70;Hide of the Nemean Lion;;;;;;;;;;;;;x
EVTDESCMA70;After a long effort we succeeded in unearthing Hide of the Nemean Lion! This is an impressive feat and will bring glory to our House.;;;;;;;;;;;;;x
EVTDESCMA71;After a long effort we succeeded in unearthing Medusa's Head. This is an impressive feat and will bring glory to our House.;;;;;;;;;;;;;x
EVTNAMEMA72;Trident of Poseidon;;;;;;;;;;;;;x
EVTDESCMA72;After a long effort we succeeded in unearthing Trident of Poseidon! This is an impressive feat and will bring glory to our House.;;;;;;;;;;;;;x
EVTDESCMA73;After a long effort we succeeded in unearthing Opon Ifa. This is an impressive feat and will bring glory to our House.;;;;;;;;;;;;;x
EVTNAMEMA74;Spider Silk of Anansi;;;;;;;;;;;;;x
EVTDESCMA74;After a long effort we succeeded in unearthing Spider Silk of Anansi! This is an impressive feat and will bring glory to our House.;;;;;;;;;;;;;x
EVTNAMEMA75;Totem of Ikenga;;;;;;;;;;;;;x
EVTDESCMA75;After a long effort we succeeded in unearthing Totem of Ikenga! This is an impressive feat and will bring glory to our House.;;;;;;;;;;;;;x
EVTNAMEMA76;Cloak of the Chameleon;;;;;;;;;;;;;x
EVTDESCMA76;After a long effort we succeeded in unearthing Cloak of the Chameleon! This is an impressive feat and will bring glory to our House.;;;;;;;;;;;;;x
EVTNAMEMA77;Bow of Khonvoum;;;;;;;;;;;;;x
EVTDESCMA77;After a long effort we succeeded in unearthing Bow of Khonvoum! This is an impressive feat and will bring glory to our House.;;;;;;;;;;;;;x
#New Patch 1.5
EVTDESCMA78;After a long effort we succeeded in unearthing Feathers of Simurgh. This is an impressive feat and will bring glory to our House.;;;;;;;;;;;;;x
EVTNAMEMA79;Helmet of Rostam;;;;;;;;;;;;;x
EVTDESCMA79;After a long effort we succeeded in unearthing Helmet of Rostam! This is an impressive feat and will bring glory to our House.;;;;;;;;;;;;;x
EVTNAMEMA80;Arash's Bow;;;;;;;;;;;;;x
EVTDESCMA80;After a long effort we succeeded in unearthing Arash's Bow! This is an impressive feat and will bring glory to our House.;;;;;;;;;;;;;x
EVTNAMEMA81;Shamshir-e Zomorrodnegar;;;;;;;;;;;;;x
EVTDESCMA81;After a long effort we succeeded in unearthing Shamshir-e Zomorrodnegar! This is an impressive feat and will bring glory to our House.;;;;;;;;;;;;;x
EVTNAMEMA82;Tishtrya's Mace;;;;;;;;;;;;;x
EVTDESCMA82;After a long effort we succeeded in unearthing Tishtrya's Mace! This is an impressive feat and will bring glory to our House.;;;;;;;;;;;;;x
EVTNAMEMA83;Dagger of Rostam;;;;;;;;;;;;;x
EVTDESCMA83;After a long effort we succeeded in unearthing Dagger of Rostam! This is an impressive feat and will bring glory to our House.;;;;;;;;;;;;;x
EVTDESCMA84;After a long effort we succeeded in unearthing Sacred Domovoi. This is an impressive feat and will bring glory to our House.;;;;;;;;;;;;;x
EVTNAMEMA85;Shield of Rodu;;;;;;;;;;;;;x
EVTDESCMA85;After a long effort we succeeded in unearthing Shield of Rodu! This is an impressive feat and will bring glory to our House.;;;;;;;;;;;;;x
EVTNAMEMA86;Light of Ausrine;;;;;;;;;;;;;x
EVTDESCMA86;After a long effort we succeeded in unearthing Light of Ausrine! This is an impressive feat and will bring glory to our House.;;;;;;;;;;;;;x
EVTNAMEMA87;Sun Disc of Saule;;;;;;;;;;;;;x
EVTDESCMA87;After a long effort we succeeded in unearthing Sun Disc of Saule! This is an impressive feat and will bring glory to our House.;;;;;;;;;;;;;x
EVTDESCMA88;After a long effort we succeeded in unearthing Skull of the Great White Bear. This is an impressive feat and will bring glory to our House.;;;;;;;;;;;;;x
