#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
shield;Shield;;;;;;;;;;;;;x
ceremonial_scepter;Ceremonial Scepter;;;;;;;;;;;;;x
caesar_bust;Bust of Caesar;;;;;;;;;;;;;x
caesar_bust_desc;A bust modelled after the deified Julius Caesar. It would only be right to make it public for the sake of Rome's revival.;;;;;;;;;;;;;x
spartan_helmet;Helmet of Leonidas;;;;;;;;;;;;;x
spartan_helmet_desc;Leonidas repelled the Persian horde against all odds, thus he entered the Hellenes hall of heroes.;;;;;;;;;;;;;x
athena_spear;Spear of Athena;;;;;;;;;;;;;x
athena_spear_desc;Athena, the god of wisdom and strategy. Her spear serves as a reminder to the Hellenes that their ways lies with the power of the mind.;;;;;;;;;;;;;x
justitia_scales;Scales of Justitia;;;;;;;;;;;;;x
justitia_scales_desc;In the Greco-Roman world no symbol represents justice like the scales of Justitia. Its wielder would surely be an arbiter of justice.;;;;;;;;;;;;;x
alexander_shield;Shield of Alexander;;;;;;;;;;;;;x
alexander_shield_desc;Alexander the Great came from nothing to carving himself an empire. Can you do the same?;;;;;;;;;;;;;x
gold_snake;Gold Snake Bracelet;;;;;;;;;;;;;x
gold_snake_desc;Known to be worn among Roman nobility. The Romans liked to brag to others about wearing ornaments such as this.;;;;;;;;;;;;;x
gungnir;Gungnir;;;;;;;;;;;;;x
gungnir_desc;This mythical spear of unknown origin is engraved with ancient runes of yore, considered by many to be the famed spear of Odin.;;;;;;;;;;;;;x
mistilteinn;Mistilteinn;;;;;;;;;;;;;x
mistilteinn_desc;This looks like an ordinary mistletoe, but its leafs are highly poisonous. Could it be the infamous branch of Loki?;;;;;;;;;;;;;x
draupnir;Draupnir;;;;;;;;;;;;;x
draupnir_desc;A ring said to be forged by the Dwarves.;;;;;;;;;;;;;x
brisingamen;Brisingamen;;;;;;;;;;;;;x
brisingamen_desc;This necklace is so beautiful some believe it to be the torq of the great goddess Freyja. This radiant jewel enthralls those in its presence by its magnificence.;;;;;;;;;;;;x
mokosh_soil;Soil of Mokosh;;;;;;;;;;;;;x
