#####
#HEADGEAR
#####

rtp_mouthpiece_a;Mouthpiece;;;;;;x
rtp_mouthpiece_a_desc;A piece of cloth covering the lower face to protect from breathing in dust or prevent identification.;;;;;;x

rtp_headscarf_a;Headscarf;;;;;;x
rtp_headscarf_a_desc;A thick piece of cloth wrapped around the head.;;;;;;x

rtp_leatherheadband_a;Leather Headband;;;;;;x
rtp_leatherheadband_a_desc;A dried and folded leather headband designed to protect the forehead.;;;;;;x

rtp_hood_a;Hood;;;;;;x
rtp_hood_a_desc;A simple hood to protect against weather and scratches.;;;;;;x

rtp_hunterhat_a;Hunter's Hat;;;;;;x
rtp_hunterhat_a_desc;A rectangle shaped hat with a pheasant feather attached to it.;;;;;;x

rtp_strawhat_a;Straw Hat;;;;;;x
rtp_strawhat_a_desc;A crude hat to protect against the sun.;;;;;;x

rtp_featheredhat_a;Feathered Hat;;;;;;x
rtp_featheredhat_a_desc;A fancy feathered hat usually worn by minstrels or nobles.;;;;;;x

rtp_withchunterhat_a;Witchhunter's Hat;;;;;;x
rtp_withchunterhat_a_desc;A tough leather hat providing decent protection against scratches.;;;;;;x


rtp_fullleathercap_a;Full Leather Cap;;;;;;x
rtp_fullleathercap_a_desc;A closed leather cap that protects the head and neck. Padded for extra protection.;;;;;;x

rtp_aketoncap_a;Aketon Cap;;;;;;x
rtp_aketoncap_a_desc;A padded cloth cap.;;;;;;x

rtp_bearheadpiece_a;Bear Headpiece;;;;;;x
rtp_bearheadpiece_a_desc;The dried and prepped head of a large bear. Offers some protection, but is mostly donned for the looks.;;;;;;x

rtp_leatherhelmet_a;Leather Helmet;;;;;;x
rtp_leatherhelmet_a_desc;A thick leather helmet fashioned from cured hides. The animals these once belonged to were certainly dangerous game.;;;;;;x

rtp_openleathercap_a;Open Leather Cap;;;;;;x
rtp_openleathercap_a_desc;A sturdy leather cap that is not covering the ears and neck.;;;;;;x

rtp_beastmasterheadpiece_a;Beastmaster's Headpiece;;;;;;x
rtp_beastmasterheadpiece_a_desc;A headpiece with long horns, fashioned in tradition of barbarian beastmasters for generations.;;;;;;x

rtp_leatherhood_a;Leather Hood;;;;;;x
rtp_leatherhood_a_desc;A thick leather hood that covers the head and neck but limits vision.;;;;;;x

rtp_duelisthat_a;Duelist's Hat;;;;;;x
rtp_duelisthat_a_desc;A thick leather hat with ornaments and feathers.;;;;;;x


rtp_paddednasalhelmet_a;Padded Nasal Helmet;;;;;;x
rtp_paddednasalhelmet_a_desc;A metal helmet with added noseguard and a padded coif underneath.;;;;;;x

rtp_kettlehat_a;Kettle Hat;;;;;;x
rtp_kettlehat_a_desc;A full-metal helmet with a broad rim.;;;;;;x

rtp_paddedflattophelmet_a;Padded Flat Top Helmet;;;;;;x
rtp_paddedflattophelmet_a_desc;A flat full-metal helmet with noseguard and a padded coif underneath.;;;;;;x

rtp_nordichelmet_a;Nordic Helmet;;;;;;x
rtp_nordichelmet_a_desc;A nordic helmet guarding face and neck with additional metal plates.;;;;;;x

rtp_paddeddentednasalhelmet_a;Padded Dented Nasal Helmet;;;;;;x
rtp_paddeddentednasalhelmet_a_desc;A dented metal nasal helmet that has seen some fighting.;;;;;;x

rtp_sallethelmet_a;Sallet Helmet;;;;;;x
rtp_sallethelmet_a_desc;A metal sallet helmet with an extended neckguard.;;;;;;x

rtp_flattophelmet_a;Flat Top Helmet;;;;;;x
rtp_flattophelmet_a_desc;A flat full-metall helmet with noseguard.;;;;;;x

rtp_paddedkettlehat_a;Padded Kettle Hat;;;;;;x
rtp_paddedkettlehat_a_desc;A full-metal helmet with a broad rim and a padded coif underneath.;;;;;;x


rtp_mailcoif_a;Mail Coif;;;;;;x
rtp_mailcoif_a_desc;A mail coif that also protects the neck.;;;;;;x

rtp_steppehelmetwithmail_a;Steppe Helmet with Mail;;;;;;x
rtp_steppehelmetwithmail_a_desc;A nasal helmet with an attached mail neck guard fashioned in the way of the steppe folks.;;;;;;x

rtp_nasalhelmetwithrustymail_a;Nasal Helmet with Rusty Mail;;;;;;x
rtp_nasalhelmetwithrustymail_a_desc;A worn and used helmet with a rusty mail coif.;;;;;;x

rtp_bascinetwithmail_a;Bascinet with Mail;;;;;;x
rtp_bascinetwithmail_a_desc;A metal bascinet worn atop a thick mail coif.;;;;;;x

rtp_kettlehatwithmail_a;Kettle Hat with Mail;;;;;;x
rtp_kettlehatwithmail_a_desc;A full-metall helmet with a broad rim and a mail coif underneath.;;;;;;x

rtp_nasalhelmetwithmail_a;Nasal Helmet with Mail;;;;;;x
rtp_nasalhelmetwithmail_a_desc;A metal helmet with added noseguard and a mail coif underneath.;;;;;;x

rtp_nasalhelmetwithclosedmail_a;Nasal Helmet with Closed Mail;;;;;;x
rtp_nasalhelmetwithclosedmail_a_desc;A metal helmet with a noseguard and a closed mail coif underneath.;;;;;;x

rtp_closedmailcoif_a;Closed Mail Coif;;;;;;x
rtp_closedmailcoif_a_desc;A mail coif with added protection for the face.;;;;;;x


rtp_fullhelm_a;Full Helm;;;;;;x
rtp_fullhelm_a_desc;A closed metal helm with breathing holes.;;;;;;x

rtp_barbutehelmet_a;Barbute Helmet;;;;;;x
rtp_barbutehelmet_a_desc;A sturdy yet light barbute helmet.;;;;;;x

rtp_conichelmetwithclosedmail_a;Conic Helmet with Closed Mail;;;;;;x
rtp_conichelmetwithclosedmail_a_desc;A heavy conic helmet with a full closed mail skirt for additional protection.;;;;;;x

rtp_closedflattopwithmail_a;Closed Flat Top with Mail;;;;;;x
rtp_closedflattopwithmail_a_desc;A closed helmet with complete faceguard and mail coif covering the neck.;;;;;;x

rtp_conichelmetwithfaceguard_a;Conic Helmet with Faceguard;;;;;;x
rtp_conichelmetwithfaceguard_a_desc;This conic helmet with mail has an attached metal faceguard.;;;;;;x

rtp_closedscrapmetalhelmet_a;Closed Scrap Metal Helmet;;;;;;x
rtp_closedscrapmetalhelmet_a_desc;This heavy metal helmet also protects the wearer's face.;;;;;;x

rtp_decoratedfullhelm_a;Decorated Full Helm;;;;;;x
rtp_decoratedfullhelm_a_desc;A closed metal helm with breathing holes and intricate decoration on top.;;;;;;x

rtp_heavyhornedplatehelmet_a;Heavy Horned Plate Helmet;;;;;;x
rtp_heavyhornedplatehelmet_a_desc;This heavy helmet has ornamental horns attached.;;;;;;x

#####
#TORSO
#####

rtp_linentunic_a;Linen Tunic;;;;;;x
