rtp_claim_nobility_d;Claim Nobility;;;;;;x
rtp_claim_nobility_d_desc;Tales of my deeds have reached many realms. It is time for me to gain a place amongst the nobility.;;;;;;x

rtp_abandon_titles_d;Abandon Titles;;;;;;x
rtp_abandon_titles_d_desc;Forget this sedentary life. I want to see the world!;;;;;;x

rtp_raise_troops_d;Raise Troops;;;;;;x
rtp_raise_troops_d_desc;I can raise my troops.;;;;;;x

rtp_raise_volunteers_d;Raise Volunteers;;;;;;x
rtp_raise_volunteers_d_desc;I can raise my volunteers.;;;;;;x

rtp_raise_zealouts_d;Raise Zealots;;;;;;x
rtp_raise_zealouts_d_desc;I can raise my [Root.Religion.GetName] zealots and declare war on [Root.TopLiege.GetTitledName].;;;;;;x

rtp_raise_patriots_d;Raise Patriots;;;;;;x
rtp_raise_patriots_d_desc;I can raise my [Root.Culture.GetName] patriots and declare war on [Root.TopLiege.GetTitledName].;;;;;;x

rtp_visit_doctor_d;Visit Doctor;;;;;;x
rtp_visit_doctor_d_desc;I can go see the local doctor.;;;;;;x

rtp_found_trade_company_d;Overtake Trade Company;;;;;;x
rtp_found_trade_company_d_desc;I have accumulated enough gold to overtake one of the existing trade companies.;;;;;;x

rtp_found_mercenary_company_d;Found Mercenary Company;;;;;;x
rtp_found_mercenary_company_d_desc;My fame has spread around [Root.Capital.GetName] so much that many are willing to follow me in search of fame and wealth.;;;;;;x

rtp_found_holy_order_d;Found Holy Order;;;;;;x
rtp_found_holy_order_d_desc;I shall become the true defender of the [Root.Religion.GetName] faith. [Root.Religion.GetHighGodName] be praised!;;;;;;x

rtp_pray_d;Pray;;;;;;x
rtp_pray_d_desc;Say a prayer to [Root.Religion.GetHighGodName] in order to possibly receive a random boon.;;;;;;x

rtp_gamble_d;Gamble;;;;;;x
rtp_gamble_d_desc;I have some spare coins which can be used for gambling.;;;;;;x

rtp_arena_d;Fight in the Arena;;;;;;x
rtp_arena_d_desc;Prove yourself in the Arena as you are pitted against a random combatant.;;;;;;x

rtp_enable_piracy_d;Piracy;;;;;;x
rtp_enable_piracy_d_desc;As Privateers we may raise the black flag in order to collect extra income...neighboring rulers might not like it though.;;;;;;x

rtp_quit_job_d;Quit Job;;;;;;x
rtp_quit_job_d_desc;I don't like this job anymore.;;;;;;x

rtp_find_spouse_d;Find a Spouse;;;;;;x
rtp_find_spouse_d_desc;I have yet to get married. Perhaps I should go look for one.;;;;;;x

rtp_seek_members_d;Seek Confederation Members;;;;;;x
rtp_seek_members_d_desc;As the President of this Confederation, I can choose to invite more people to the league.;;;;;;x

rtp_visit_marketplace_d;Visit Marketplace;;;;;;x
rtp_visit_marketplace_d_desc;I wonder what sort of goods they are currently selling down at the marketplace.;;;;;;x

#####
#House/Manor Decisions
#####

rtp_purchase_house_d;Buy a House;;;;;;x
rtp_purchase_house_d_desc;I saved enough money to buy a house.;;;;;;x

rtp_purchase_chickens_d;Buy some Chickens;;;;;;x
rtp_purchase_chickens_d_desc;I saved enough money to buy some chickens.;;;;;;x

rtp_purchase_statuette_d;Buy a Statuette;;;;;;x
rtp_purchase_statuette_d_desc;I saved enough money to buy a statuette.;;;;;;x

rtp_purchase_fence_d;Buy a Fence;;;;;;x
rtp_purchase_fence_d_desc;I saved enough money to buy a fence.;;;;;;x

rtp_purchase_cows_d;Buy some Cows;;;;;;x
rtp_purchase_cows_d_desc;I saved enough money to buy some cows.;;;;;;x

rtp_purchase_tub_d;Buy a Tub;;;;;;x
rtp_purchase_tub_d_desc;I saved enough money to buy a tub.;;;;;;x

rtp_purchase_candles_d;Buy some Candles;;;;;;x
rtp_purchase_candles_d_desc;I saved enough money to buy some candles.;;;;;;x

rtp_purchase_fireplace_d;Buy a Fireplace;;;;;;x
rtp_purchase_fireplace_d_desc;I saved enough money to buy a fireplace.;;;;;;x

rtp_purchase_sheep_d;Buy some Sheep;;;;;;x
rtp_purchase_sheep_d_desc;I saved enough money to buy some sheep.;;;;;;x

rtp_purchase_latrine_d;Buy a Latrine;;;;;;x
rtp_purchase_latrine_d_desc;I saved enough money to buy a latrine.;;;;;;x

rtp_purchase_mansion_d;Buy a Manor;;;;;;x
rtp_purchase_mansion_d_desc;I saved enough money to buy a manor.;;;;;;x

rtp_purchase_farmland_d;Buy a Farmland;;;;;;x
rtp_purchase_farmland_d_desc;I saved enough money to buy some farmland.;;;;;;x

rtp_purchase_shrine_d;Buy a Shrine;;;;;;x
rtp_purchase_shrine_d_desc;I saved enough money to buy a shrine.;;;;;;x

rtp_purchase_wall_d;Buy a Wall;;;;;;x
rtp_purchase_wall_d_desc;I saved enough money to buy a wall.;;;;;;x

rtp_purchase_mine_d;Buy a Mine;;;;;;x
rtp_purchase_mine_d_desc;I saved enough money to buy a mine.;;;;;;x

rtp_purchase_garden_d;Buy a Garden;;;;;;x
rtp_purchase_garden_d_desc;I saved enough money to buy a garden.;;;;;;x

