rtp_bandit_hideout_em;Bandit Hideout;;;;;;x
rtp_bandit_hideout_em_desc;A bandit hideout has been enstablished in this province.;;;;;;x

rtp_job_stipend1_em;Stipend;;;;;;x
rtp_job_stipend1_em_desc;This character is collecting a stipend from [From.GetHerHis] job.\nPay scale for this job is §YLow§!.;;;;;;x

rtp_job_stipend2_em;Stipend;;;;;;x
rtp_job_stipend2_em_desc;This character is collecting a stipend from [From.GetHerHis] job.\nPay scale for this job is §YMedium§!.;;;;;;x

rtp_job_stipend3_em;Stipend;;;;;;x
rtp_job_stipend3_em_desc;This character is collecting a stipend from [From.GetHerHis] job.\nPay scale for this job is §YHigh§!.;;;;;;x

rtp_job_stipend4_em;Stipend;;;;;;x
rtp_job_stipend4_em_desc;This character is collecting a stipend from [From.GetHerHis] job.\nPay scale for this job is the §YHighest§!.;;;;;;x

rtp_naval_supplies_em;Naval Supplies;;;;;;x
rtp_naval_supplies_em_desc;Many cargo ships have been sunk during a naval battle and supplies have been reduced for this province.;;;;;;x

rtp_diplomacy_prayer_em;Diplomatic Favor;;;;;;x
rtp_diplomacy_prayer_em_desc;[From.Religion.GetHighGodNameCap] has blessed this character.;;;;;;x

rtp_martial_prayer_em;Martial Favor;;;;;;x
rtp_martial_prayer_em_desc;[From.Religion.GetHighGodNameCap] has blessed this character.;;;;;;x

rtp_stewardship_prayer_em;Stewardship Favor;;;;;;x
rtp_stewardship_prayer_em_desc;[From.Religion.GetHighGodNameCap] has blessed this character.;;;;;;x

rtp_intrigue_prayer_em;Intrigue Favor;;;;;;x
rtp_intrigue_prayer_em_desc;[From.Religion.GetHighGodNameCap] has blessed this character.;;;;;;x

rtp_learning_prayer_em;Learning Favor;;;;;;x
rtp_learning_prayer_em_desc;[From.Religion.GetHighGodNameCap] has blessed this character.;;;;;;x

rtp_wealth_prayer_em;Wealth Favor;;;;;;x
rtp_wealth_prayer_em_desc;[From.Religion.GetHighGodNameCap] has blessed this character.;;;;;;x

rtp_piety_prayer_em;Piety Favor;;;;;;x
rtp_piety_prayer_em_desc;[From.Religion.GetHighGodNameCap] has blessed this character.;;;;;;x

rtp_prestige_prayer_em;Prestige Favor;;;;;;x
rtp_prestige_prayer_em_desc;[From.Religion.GetHighGodNameCap] has blessed this character.;;;;;;x

rtp_fertility_prayer_em;Fertility Favor;;;;;;x
rtp_fertility_prayer_em_desc;[From.Religion.GetHighGodNameCap] has blessed this character.;;;;;;x

rtp_health_prayer_em;Health Favor;;;;;;x
rtp_health_prayer_em_desc;[From.Religion.GetHighGodNameCap] has blessed this character.;;;;;;x

rtp_null_prayer_em;No Favor;;;;;;x
rtp_null_prayer_em_desc;[From.Religion.GetHighGodNameCap] has not blessed this character.;;;;;;x

rtp_gambled_em;Gambled;;;;;;x
rtp_gambled_em_desc;This character has recently gambled.;;;;;;x

rtp_training_em;Training;;;;;;x
rtp_training_em_desc;This character has received combat training.;;;;;;x

rtp_battle_roar_em;Battle Roar;;;;;;x
rtp_battle_roar_em_desc;This character has unleashed a powerful Battle Roar.;;;;;;x

rtp_safehouse_em;Safehouse;;;;;;x
rtp_safehouse_em_desc;This character has set up a safehouse for [From.Society.GetName].;;;;;;x

rtp_loan_stewarship1_em;[Root.Society.GetName] Loan;;;;;;x
rtp_loan_stewarship1_em_desc;This character has taken out a loan from [From.Society.GetName].;;;;;;x

rtp_loan_stewarship2_em;[Root.Society.GetName] Loan;;;;;;x
rtp_loan_stewarship2_em_desc;This character has taken out a loan from [From.Society.GetName].;;;;;;x

rtp_loan_stewarship3_em;[Root.Society.GetName] Loan;;;;;;x
rtp_loan_stewarship3_em_desc;This character has taken out a loan from [From.Society.GetName].;;;;;;x

rtp_loan_stewarship4_em;[Root.Society.GetName] Loan;;;;;;x
rtp_loan_stewarship4_em_desc;This character has taken out a loan from [From.Society.GetName].;;;;;;x

rtp_toll_booth_em;Toll Booth;;;;;;x
rtp_toll_booth_em_desc;This character has set up a toll booth in [From.TopLiege.Capital.GetName].;;;;;;x

rtp_tolerance_em;Tolerant;;;;;;x
rtp_tollerance_em_desc;This character tries understanding the different cultures and religions.;;;;;;x

rtp_polite_em;Polite;;;;;;x
rtp_polite_em_desc;This character is very polite.;;;;;;x


rtp_slavery_0_em;Full Slavery;;;;;;x
rtp_slavery_0_em_desc; ;;;;;;x

rtp_slavery_2_em;No Slavery;;;;;;x
rtp_slavery_2_em_desc; ;;;;;;x

rtp_trade_0_em;Closed Market;;;;;;x
rtp_trade_0_em_desc; ;;;;;;x

rtp_trade_2_em;Open Market;;;;;;x
rtp_trade_2_em_desc; ;;;;;;x

rtp_resettlement_0_em;Allowed Resettlement;;;;;;x
rtp_resettlement_0_em_desc; ;;;;;;x

rtp_resettlement_2_em;Banned Resettlement;;;;;;x
rtp_resettlement_2_em_desc; ;;;;;;x

rtp_welfare_0_em;No Welfare;;;;;;x
rtp_welfare_0_em_desc; ;;;;;;x

rtp_welfare_2_em;Full Welfare;;;;;;x
rtp_welfare_2_em_desc; ;;;;;;x

rtp_production_0_em;Local Goods;;;;;;x
rtp_production_0_em_desc; ;;;;;;x

rtp_production_2_em;Imported Goods;;;;;;x
rtp_production_2_em_desc; ;;;;;;x

rtp_property_0_em;No Businesses;;;;;;x
rtp_property_0_em_desc; ;;;;;;x

rtp_property_2_em;Open Businesses;;;;;;x
rtp_property_2_em_desc; ;;;;;;x

rtp_banking_0_em;Loan Shark Banking;;;;;;x
rtp_banking_0_em_desc; ;;;;;;x

rtp_banking_2_em;Regulated Banking;;;;;;x
rtp_banking_2_em_desc; ;;;;;;x

rtp_holidays_0_em;No Paid Holidays;;;;;;x
rtp_holidays_0_em_desc; ;;;;;;x

rtp_holidays_2_em;Paid Holidays;;;;;;x
rtp_holidays_2_em_desc; ;;;;;;x

rtp_role_0_em;Militaristic Role;;;;;;x
rtp_role_0_em_desc; ;;;;;;x

rtp_role_2_em;Pacifist Role;;;;;;x
rtp_role_2_em_em_desc; ;;;;;;x

rtp_consecrated_grounds_0_em;No Consecrated Grounds;;;;;;x
rtp_consecrated_grounds_0_em_desc; ;;;;;;x

rtp_consecrated_grounds_2_em;Full Consecrated Grounds;;;;;;x
rtp_consecrated_grounds_2_em_em_desc; ;;;;;;x

rtp_membership_0_em;Closed Membership;;;;;;x
rtp_membership_0_em_desc; ;;;;;;x

rtp_membership_2_em;Open Membership;;;;;;x
rtp_membership_2_em_em_desc; ;;;;;;x

rtp_sanctuary_0_em;No Sanctuary;;;;;;x
rtp_sanctuary_0_em_desc; ;;;;;;x

rtp_sanctuary_2_em;Open Sanctuary;;;;;;x
rtp_sanctuary_2_em_em_desc; ;;;;;;x

rtp_tithe_0_em;Mandatory Tithe;;;;;;x
rtp_tithe_0_em_desc; ;;;;;;x

rtp_tithe_2_em;Reversed Tithe;;;;;;x
rtp_tithe_2_em_em_desc; ;;;;;;x

rtp_attendance_0_em;Mandatory Attendance;;;;;;x
rtp_attendance_0_em_desc; ;;;;;;x

rtp_attendance_2_em;No Attendance;;;;;;x
rtp_attendance_2_em_em_desc; ;;;;;;x

rtp_glossolalia_0_em;Banned Glossolalia;;;;;;x
rtp_glossolalia_0_em_desc; ;;;;;;x

rtp_glossolalia_2_em;Allowed Glossolalia;;;;;;x
rtp_glossolalia_2_em_em_desc; ;;;;;;x

rtp_conversion_0_em;Forced Conversion;;;;;;x
rtp_conversion_0_em_desc; ;;;;;;x

rtp_conversion_2_em;No Forced Conversion;;;;;;x
rtp_conversion_2_em_em_desc; ;;;;;;x


rtp_corruption1_em;Overstretched;;;;;;x
rtp_corruption1_em_desc;This ruler's realm is too overstretched and the vassals are growing weary.;;;;;;x

rtp_corruption2_em;Overstretched;;;;;;x
rtp_corruption2_em_desc;This ruler's realm is too overstretched and the vassals are growing weary.;;;;;;x

rtp_corruption3_em;Overstretched;;;;;;x
rtp_corruption3_em_desc;This ruler's realm is too overstretched and the vassals are growing weary.;;;;;;x

rtp_corruption4_em;Overstretched;;;;;;x
rtp_corruption4_em_desc;This ruler's realm is too overstretched and the vassals are growing weary.;;;;;;x

rtp_corruption5_em;Overstretched;;;;;;x
rtp_corruption5_em_desc;This ruler's realm is too overstretched and the vassals are growing weary.;;;;;;x

rtp_corruption6_em;Overstretched;;;;;;x
rtp_corruption6_em_desc;This ruler's realm is too overstretched and the vassals are growing weary.;;;;;;x

rtp_corruption7_em;Overstretched;;;;;;x
rtp_corruption7_em_desc;This ruler's realm is too overstretched and the vassals are growing weary.;;;;;;x

