rtp_rules;Rise To Power;;;;;;x

rtp_start_r;§FRise To Power§!: Origin;;;;;;x
rtp_start_default;Default;;;;;;x
rtp_start_default_desc;Start as the selected rank.;;;;;;x
rtp_start_noble;Noble;;;;;;x
rtp_start_noble_desc;Start as a noble.;;;;;;x
rtp_start_lowborn;Lowborn;;;;;;x
rtp_start_lowborn_desc;Start as a lowborn.;;;;;;x
rtp_start_bastard;Bastard;;;;;;x
rtp_start_bastard_desc;Start as a bastard.;;;;;;x

rtp_chalcedonian_r;§FRise To Power§!: Chalcedonian;;;;;;x
rtp_chalcedonian_split;Split;;;;;;x
rtp_chalcedonian_split_desc;Start with Catholicism and Orthodoxy separated from each other.;;;;;;x
rtp_chalcedonian_united;United;;;;;;x
rtp_chalcedonian_united_desc;Start with Catholicism and Orthodoxy united together.\n§ROnly works with timelines before 1054§!;;;;;;x

rtp_beasts_r;§FRise To Power§!: Beasts;;;;;;x
rtp_beasts_no;Disabled;;;;;;x
rtp_beasts_no_desc;Disables vampires, werewolves, devil worshippers, shapeshifters, and wizards.;;;;;;x
rtp_beasts_yes;Enabled;;;;;;x
rtp_beasts_yes_desc;Enables vampires, werewolves, devil worshippers, shapeshifters, and wizards.;;;;;;x

rtp_ambient_sounds_r;§FRise To Power§!: Ambient Sounds;;;;;;x
rtp_ambient_sounds_no;Disabled;;;;;;x
rtp_ambient_sounds_no_desc;Disables ambient sounds.;;;;;;x
rtp_ambient_sounds_yes;Enabled;;;;;;x
rtp_ambient_sounds_yes_desc;Enables ambient sounds based on the location of your character.\n§ROnly works well while playing on speed 1§!;;;;;;x

rtp_tutorial_r;§FRise To Power§!: Tutorial;;;;;;x
rtp_tutorial_no;Disabled;;;;;;x
rtp_tutorial_no_desc;Disables tutorials and hints.;;;;;;x
rtp_tutorial_yes;Enabled;;;;;;x
rtp_tutorial_yes_desc;Enables tutorials and hints.;;;;;;x
