d_satan_state;The Unholy Cabal;;;;;;;;;;;;;x
d_satan_state_adj;Unholy;;;;;;;;;;;;;x
satanic;Satanic;;;;;;;;;;;;;x
satanism;Satanic;;;;;;;;;;;;;x
BLACKCRUSADE;Black Crusade;;;;;;;;;;;;;x
SATANTEXT;The Unholy Scriptures;;;;;;;;;;;;;x
UNHOLYPRIEST;Priest;;;;;;;;;;;;;x
LUCIFERHIGH;Lucifer;;;;;;;;;;;;;x
ANTICHRIST;Listener;;;;;;;;;;;;;x
ANTICHRISTFOA;Your Unholiness;;;;;;;;;;;;;x
satanism_DESC;Disciples of the fallen angel;;;;;;;;;;;;;x
formalise_faith;Formalise the Satanic Faith;;;;;;;;;;;;;x
formalise_faith_desc;The High Priest of Lucifer's Own may announce to the world his true faith. He will become the vanguard of Satan's armies on Earth, for any who wish to join him upon a dark crusade.;;;;;;;;;;;;;x
join_satan_faith;Convert to Satanism;;;;;;;;;;;;;x
join_satan_faith_desc;If the High Priest has been brave enough to formalise your beliefs, you may officially display your devotion, at your own risk, of course.;;;;;;;;;;;;;x
SATAN_FORMED_TITLE;Satanism Founded;;;;;;;;;;;;;x
SATAN_FORMED_DESC;The Satanic faith, founded upon the reverence of Lucifer, has been officially brought into existence as the state religion of a sizeable realm. It's possible many may rise up in support of what was formerly an underground cult.;;;;;;;;;;;;;x
SATAN_FORMED_OP1;A new era of darkness is upon us.;;;;;;;;;;;;;x
SATAN_FORMED_OP2;Burn the heretic. Purge the unclean.;;;;;;;;;;;;;x
join_satan_faith_power_desc;If the High Priest has been brave enough to formalise your beliefs, you may officially display your devotion. At your own peril, of course.;;;;;;;;;;;;;x
formalise_faith_power_desc;The High Priest of Lucifer's Own may announce to the world his true faith. He will become the vanguard of Satan's armies on Earth, for any who wish to join him upon a dark crusade.;;;;;;;;;;;;;x
FEMALEANTICHRIST;Listener;;;;;;;;;;;;;x
temple_baron_satanic;Priest;;;;;;;;;;;;;x
temple_baron_female_satanic;Priestess;;;;;;;;;;;;;x
temple_count_satanic;Warlock;;;;;;;;;;;;;x
temple_count_female_satanic;Witch;;;;;;;;;;;;;x
temple_duke_satanic;Magus;;;;;;;;;;;;;x
temple_duke_female_satanic;Maga;;;;;;;;;;;;;x
SATAN_SIN_WROTH_DESC;Lately you have found yourself revelling in unprovoked violent outbursts. Three of your servants have already been mutilated and killed by your own hand, and many at your court now appear to cower under your gaze. One courtier in particular seems to be trying to escape your presence...;;;;;;;;;;;;x
SATAN_WROTH_OP1;Have your guards torture and execute them.;;;;;;;;;;;;;x
SATAN_WROTH_OP2;Beat them with your own hands.;;;;;;;;;;;;;x
SATAN_SIN_WROTH_DESC2;In a fit of demonic rage, your liege has ordered his guards to murder you. The onlookers at court can only cower beneath your liege's presence, as the guards cut you down.;;;;;;;;;;;;;x
SATAN_WROTH_OP3;Woe is me;;;;;;;;;;;;;x
SATAN_SIN_WROTH_DESC3;In a fit of arbitrarily directed rage, your liege has beaten you to a bloody pulp, leaving you maimed and barely able to draw breath. The others at court merely looked on in fear as your bones and body were broken.;;;;;;;;;;;;;x
SATAN_WROTH_OP4;Woe is me;;;;;;;;;;;;;x
SATAN_SIN_WROTH_DESC4;In a fit of arbitrarily directed rage, your liege has beaten you to death in front of his entire court. He seemed to be acting as though some spectral force were commanding him to commit such a deed, and the rest of the court could only cower in his presence. Perhaps your heir will avenge your death...;;;;;;;;;;;;;x
SATAN_WROTH_OP5;Woe is me;;;;;;;;;;;;;x
wroth_maimed;Maimed;;;;;;;;;;;;;x
SATANIC_CRUSADE_SATAN;For some time now there has been a feeling of electricity in the air, along with a constant strange murmuring, distant and unintelligable, yet nevertheless lingering, as though it were carried by the breeze. Many local peasants and artisans have complained of animals behaving strangely, with otherwise peaceful creatures turning aggressive and savaging humans and other animals alike. These anomalies recently ceased, however the Listener of our faith after days of isolation has declared that the Great Unholy One, Lucifer himself, had been communicating his desires for the material world, decipherable only by the Listener. Lucifer's commands have since been known: All followers are to embark upon a crusade for the [From.GetFullBaseName] as soon as possible, with the main combatant being granted new lands for rape, plunder, and gradual enslavement...;;;;;;;;;;;;x
SATAN_CRUSADE_TITLE;Black Crusade For [From.GetBaseName];;;;;;;;;;;;;x
SATANIC_CRUSADE_NOTSAT;The foul heretics of the Satanic cult, after much incoherent babbling, have declared a "Black Crusade" for the [From.GetFullBaseName]. We will have to see what becomes of this development.;;;;;;;;;;;;x
